Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Héctor Santiago","- - -",182,,,0.5701807091035038,,,8.582685189478239,-1.965254164011465,-4.382710465760988,,,10.892114001592953,8.69566650390625,,"Hector Santiago",4026,502327
"Steve Johnson","SEA",16.2,-1.2789121492138467,,,,,-5.140999984741211,4.605454531582919,7.121143014090402,,,-4.856666564941406,,,"Steve Johnson",4053,489002
"Brian Duensing","BAL",13.1,5.791521818741508,,,,,10.049253549148787,-2.564222208658854,-4.711499786376953,,,10.755185727719907,,,"Brian Duensing",4064,488846
"Pedro Strop","CHC",47.1,-4.843684324744152,,,,,-8.544963753136406,2.2886740331491713,,,,-2.455438446580318,,,"Pedro Strop",4070,467008
"Junichi Tazawa","BOS",49.2,-3.625145773285801,,,,-6.290237862723214,-6.930000305175781,6.355729420979817,6.464247982058905,,,,,,"Junichi Tazawa",4079,547749
"James Russell","PHI",4.1,4.158124923706055,,0.10249999165534973,,,7.868750095367432,-1.98789476093493,-4.407272685657848,,,4.858182040127841,,,"James Russell",4089,460701
"Luke Gregerson","HOU",57.2,-2.189873417721519,,0.3392857142857143,,,-4.861871644771299,5.817031224568685,,,,-2.880000008477105,,,"Luke Gregerson",4090,502381
"Carlos Villanueva","SDP",74,-2.893904976222826,,,,,-7.559496578754195,3.0386499741498163,6.239000028722426,,8.277999877929688,-3.9473377949482686,,,"Carlos Villanueva",4138,453646
"Derek Holland","TEX",107.1,4.899565520109953,,,,,9.217329353149188,2.5454669994312327,,1.1172262595517792,,7.724481105804443,,,"Derek Holland",4141,502706
"Jake Arrieta","CHC",197.1,-5.91143961206475,,,,,-8.395664457640896,3.3840286336480614,5.7636566162109375,,,-9.376509903261326,,,"Jake Arrieta",4153,453562
"Jered Weaver","LAA",178,-1.5443488698542194,,,,,-6.132351583962912,4.383433591654373,6.584886668183657,,,-6.775326377467105,,,"Jered Weaver",4235,450308
"David Huff","LAA",5.1,6.499411788641238,,5.636087168817935,,,,-0.5863636190241034,,,,7.112608536430027,,,"David Huff",4257,453307
"David Hernandez","PHI",72.2,-6.752356696245909,,,,,-9.091948993389423,,6.187598107318129,,,-5.308888753255208,,,"David Hernandez",4259,456696
"Mark Melancon","- - -",71.1,-1.9215493000728983,,2.6963621951627497,-3.1449999809265137,,,,,3.8038220261082505,,,,,"Mark Melancon",4264,453343
"Matt Albers","CHW",51.1,-5.786428724016462,,,,,-9.63491951307683,1.3275268327805303,4.743333604600695,,,-6.115371209099179,,,"Matt Albers",4300,458006
"Justin Wilson","DET",58.2,4.251660983845339,,-0.6918620668608567,,,8.0425138846456,,-2.6628570556640625,,,,,,"Justin Wilson",4301,458677
"Tyler Chatwood","COL",158,-0.8740978493724516,,2.562812566757202,,,-5.916501658695339,,5.818032686827613,,,-3.8145998868075286,,,"Tyler Chatwood",4338,543022
"Kyle Drabek","ARI",2,-4.62666670481364,,-0.2512499988079071,,,-7.8806452597341226,,5.435000419616699,,,-6.873749732971191,,,"Kyle Drabek",4359,475138
"Craig Breslow","MIA",14,5.469906815858645,,,,,10.652857099260602,-0.36296297002721717,-5.12666670481364,,,5.822777642144097,,,"Craig Breslow",4363,444520
"Jeremy Hellickson","PHI",189,-8.044652497366574,,-1.8326308727264404,,,-9.75610531740083,-1.1145907907723531,5.2720947265625,1.7288631200790405,,-7.173335369968914,,,"Jeremy Hellickson",4371,476451
"Jonathon Niese","- - -",121,5.64122438072262,,0.0594279786287728,,,9.796063496028863,0.24454545974731445,-2.4929775173744457,,,7.771400912372386,,,"Jonathon Niese",4424,477003
"Jordan Zimmermann","DET",105.1,-4.5164078033722195,,,,,-9.227999877929687,1.5337100163691462,3.3261504215476787,,,-7.848909135298295,,,"Jordan Zimmermann",4505,519455
"Jason Hammel","CHC",166.2,-4.815147740321522,,,,,-8.338371992533187,2.5099473826892744,5.865729784443431,,,-8.42183115784551,,,"Jason Hammel",4538,434628
"Chris Smith","OAK",24.2,-7.355523878528226,,,,,,,4.980000254872081,4.147930642832881,,-7.700613599304759,,,"Chris Smith",4544,434672
"Brandon McCarthy","LAD",40,-6.211497672328865,,-3.1501460179795315,,,-8.01863980102539,,4.886435707016747,,,,,,"Brandon McCarthy",4662,435221
"Charlie Morton","PHI",17.1,-4.338788119229403,,,-7.102222018771702,,-11.802193327872985,,7.868000139508928,,,,,,"Charlie Morton",4676,450203
"Pat Neshek","HOU",47,,,,,,-8.572172357794944,1.7683871689663138,,,,-3.8885415395100913,,,"Pat Neshek",4682,450212
"Nate Jones","CHW",70.2,-3.8125,,,,,-7.870753361628606,1.230171904922528,8.328333536783854,,,-9.565000534057617,,,"Nate Jones",4696,518858
"Matt Cain","SFG",89.1,-4.86529336428509,,,,,-7.9365518504175645,1.8396457263401575,7.601767251657885,,,-5.748784291810094,,,"Matt Cain",4732,430912
"Jonathan Broxton","STL",60.2,-3.6789285848428914,,,,,-7.510035738031915,1.828136562560656,4.6014284406389505,,,,,,"Jonathan Broxton",4759,455009
"Félix Hernández","SEA",153.1,-3.1986042083810067,,,,,-7.512592320520966,1.5005714416503906,6.360347568379345,,,-6.811933186848958,,,"Felix Hernandez",4772,433587
"Matt Shoemaker","LAA",160,-3.223326932466947,,,,,-7.928899667941884,1.2886559271043347,,6.878214154924665,,-5.682892877112326,,,"Matt Shoemaker",4776,533167
"Rich Hill","- - -",110.1,8.59068878286439,,,,,12.6786840338456,-5.624375104904175,-8.300183371753013,-8.574999618530274,,9.475160906391759,,,"Rich Hill",4806,448179
"Joe Blanton","LAD",80,-3.969276720412234,,,,,-7.008456441380034,1.7551001599143328,3.0683244035050676,,,-7.533194647894965,,,"Joe Blanton",4849,430599
"Mike Montgomery","- - -",100,8.254691799331761,,4.05794932580119,,,,,-4.84765041330473,,,10.294121613373628,,,"Mike Montgomery",4869,543557
"Brandon Maurer","SDP",69.2,-5.900541555386382,,,,,-8.50975594869474,2.691850912295148,,,,-7.3743792764501634,,,"Brandon Maurer",4878,543506
"Peter Moylan","KCR",44.2,,,,,,-9.949477466184701,3.295330834295963,,,,-8.378888448079428,,,"Peter Moylan",4891,493247
"Scott Kazmir","LAD",136.1,4.023205096905048,,1.705213628263555,,,7.213639183208154,0.349025435366873,-0.6967832125150241,,,7.919186161341292,,,"Scott Kazmir",4897,431148
"Joe Colón","CLE",10,-1.0318987882589992,,,,,-4.586724116884429,3.9227999877929687,2.6842855725969588,,,-4.8523078331580525,,,"Joe Colon",4920,571572
"Jon Lester","CHC",202.2,5.283471284441158,,-0.18171476872546158,,,8.565840965961186,,-5.445852791157582,,,8.807078175730519,,,"Jon Lester",4930,452657
"Fernando Salas","- - -",73.2,-3.7280605059050465,,,,,-7.814999675750732,,,1.4339326008428794,,-5.663564323198678,,,"Fernando Salas",4971,477569
"Cole Hamels","TEX",200.2,6.0522970497061355,,1.8149532710280374,,,9.6997518219073,,-1.693640549641583,,,9.497828217066498,,,"Cole Hamels",4972,430935
"Fernando Abad","- - -",46.2,3.908926125340814,,4.7799999713897705,,,7.5999293797452685,,,-2.6551414345795252,,6.669884784405048,,,"Fernando Abad",4994,472551
"Jake Diekman","TEX",53,,,,,,10.946003099835286,1.0470386554243227,,,,8.571666717529297,,,"Jake Diekman",5003,518617
"Bo Schultz","TOR",16.1,-7.72527147376019,,0.14857143447512672,,,-9.969999313354492,1.4385185241699219,,,,-6.286000061035156,,,"Bo Schultz",5028,544759
"Yohan Flande","COL",3.2,,,,,,7.545517493938577,3.0933332443237305,,,,6.031153752253606,,,"Yohan Flande",5057,456071
"Josh Fields","- - -",35,-1.4387434515029347,,,,,,3.503333409627279,,3.6590345711543644,,-6.122592926025391,,,"Josh Fields",5070,451661
"Franklin Morales","TOR",4,5.140000025431315,,,,,8.41500015258789,0.5133333603541056,-5.673846318171575,,,2.1254167556762695,,,"Franklin Morales",5088,462985
"Scott Diamond","TOR",1,2.5477778116861978,,,,,,,-2.867500066757202,,,9.65999984741211,,,"Scott Diamond",5089,539438
"Jeurys Familia","NYM",77.2,-4.280526144462719,,,,,-8.209439310213414,1.7790687962582237,,,,,,,"Jeurys Familia",5114,544727
"Kelvin Marte","PIT",3.1,6.102285766601563,,,,,,1.1424999237060547,,,,9.0086669921875,,,"Kelvin Marte",5200,517629
"Mike Pelfrey","DET",119,-6.64074080961722,,,-5.29166154054265,,-9.052229320384837,1.4490257018651718,4.978762754459971,,,,,,"Mike Pelfrey",5203,460059
"Wade LeBlanc","- - -",62,6.429363666881215,,1.3353877515208965,,,9.435330630399058,-1.4479999701182047,-3.573384739802434,,,9.527844432385987,,,"Wade LeBlanc",5221,453281
"Blake Parker","- - -",17.1,-2.5538502861471737,,,-5.268906116485596,,-6.550000190734863,,4.056666765457544,,,,,,"Blake Parker",5224,453284
"Vin Mazzaro","SFG",1,-7.112727772105824,,,,,-8.235000610351562,0.13272727619517932,,,,-7.2033335367838545,,,"Vin Mazzaro",5231,476570
"Chris Tillman","BAL",172,-3.7808393138323644,,0.9797221996166088,,,,3.365613970840186,,3.881178095569349,,-5.420794421737031,,,"Chris Tillman",5279,501957
"Jose Alvarez","LAA",57.1,7.320925002581222,,,,,10.825596310314118,0.5651860200157461,-2.640535627092634,,,9.506256955961941,,,"Jose Alvarez",5358,501625
"Michael Pineda","NYY",175.2,-2.6917306350314028,,0.932345637568721,,,-5.07341450016673,1.129411232412158,,,,-7.647738017733135,,,"Michael Pineda",5372,501381
"Brad Peacock","HOU",31.2,-4.838262727361848,,,,,,8.337806357106855,,8.272500124844639,,-8.534117754767923,,,"Brad Peacock",5401,502748
"Pedro Báez","LAD",74,-3.599515047940341,,,,,-7.045545543323864,1.0539409534351245,,,,-6.201333414713542,,,"Pedro Baez",5420,520980
"Jesse Chavez","- - -",67,-3.526298284091563,,0.5052401613460358,,,-7.896865389240322,2.3540476844424294,7.606039821511448,,,-6.8229852932602615,,,"Jesse Chavez",5448,445926
"Arodys Vizcaíno","ATL",38.2,-5.34499994913737,,,,,-8.16564792176039,1.3898859640491326,,,,-7.199999491373698,,,"Arodys Vizcaino",5498,527055
"Dana Eveland","TBR",23,3.4006665547688804,,,,,12.59971762603184,-6.977368514503588,,,,8.655714307512556,,,"Dana Eveland",5508,445968
"Rubén Tejada","STL",1,-6.418000030517578,,,,,,,5.582499980926514,,,-6.726000213623047,,,"Ruben Tejada",5519,514913
"Madison Bumgarner","SFG",226.2,5.376272124961396,,0.2612310490323844,,,8.481590964577414,-0.34787877400716144,-5.645884707431332,,,8.658205211672009,,,"Madison Bumgarner",5524,518516
"Boone Logan","COL",46.1,7.110169491525424,,,,,9.719126284701153,1.2608247363536227,,,,6.034999847412109,,,"Boone Logan",5525,457429
"Phil Coke","- - -",10,5.340196048512178,,,,,9.415333387586806,-0.9597298067969244,,,,10.01193581857989,,,"Phil Coke",5535,457435
"Jo-Jo Reyes","MIA",2,-0.009599987864494324,,,,,7.935555352105035,-1.1050000190734863,,,,,,,"Jo-Jo Reyes",5559,457456
"Arnold Leon","TOR",2.1,-6.278148509837963,,,,,,3.6736363497647373,4.871666590372722,,,-6.914999961853027,,,"Arnold Leon",5595,504186
"Tyler Clippard","- - -",63,-2.810126582278481,,,-0.7267136461857898,,,,3.419285569872175,,,-5.950769368008044,,,"Tyler Clippard",5640,461325
"Junior Guerra","MIL",121.2,-2.29134829071554,,,-0.001520623251334908,,-7.9514280046735495,1.9040740684226707,2.649782705998075,,,,,,"Junior Guerra",5702,448855
"Tim Lincecum","LAA",38.1,-0.103495923484244,,,,,-4.336008935765835,3.58022223578559,3.7319718481789175,,,-2.0071512266646985,,,"Tim Lincecum",5705,453311
"Eric O'Flaherty","ATL",28.2,4.146865616983442,,,,,8.485836213406134,-1.3341270325675842,,,,8.123332977294922,,,"Eric O'Flaherty",5746,447714
