Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Melvin Mercedes","DET",2,0.27272727,0.5,0.39130435,0.66666667,0.83333333,0.77777778,0.52173913,23.41176471,"Melvin Mercedes",10181,542235
"Shawn Kelley","NYY",51.2,0.31441048,0.65617433,0.47646383,0.45833333,0.80073801,0.68192771,0.47416762,23.41009464,"Shawn Kelley",7773,518875
"David Carpenter","LAA",3,0.28571429,0.5,0.42105263,1,1,1,0.63157895,23.4,"David Carpenter",9244,518526
"AJ Ramos","MIA",64,0.31372549,0.63529412,0.46685341,0.49431818,0.7962963,0.69,0.47619048,23.36206897,"AJ Ramos",8350,573109
"Marc Rzepczynski","CLE",46,0.34328358,0.61676647,0.4673913,0.39130435,0.86407767,0.6744186,0.45380435,23.36022514,"Marc Rzepczynski",6612,519240
"Craig Breslow","BOS",54.1,0.27326733,0.65952891,0.45884774,0.69565217,0.92207792,0.85201794,0.48045267,23.35620438,"Craig Breslow",4363,444520
"Matt Barnes","BOS",9,0.4025974,0.675,0.54140127,0.58064516,0.88888889,0.77647059,0.50955414,23.3539823,"Matt Barnes",12863,598264
"Juan Nicasio","COL",93.2,0.24693042,0.66497462,0.46351085,0.64640884,0.88167939,0.8212766,0.51808021,23.33391608,"Juan Nicasio",7731,504379
"Joe Thatcher","- - -",30.1,0.30331754,0.74503311,0.56335283,0.703125,0.85777778,0.82352941,0.58869396,23.32880435,"Joe Thatcher",4620,491159
"Rafael Soriano","WSN",62,0.29452055,0.7122807,0.53075397,0.55813953,0.80541872,0.74579439,0.56547619,23.32307692,"Rafael Soriano",1100,400089
"Brian Duensing","MIN",54.1,0.26794258,0.6838565,0.48263889,0.71428571,0.85901639,0.82014388,0.5162037,23.31928687,"Brian Duensing",4064,488846
"Brad Penny","MIA",26,0.26086957,0.56431535,0.42410714,0.83333333,0.94852941,0.91578947,0.53794643,23.2952381,"Brad Penny",535,207267
"Madison Bumgarner","SFG",217.1,0.31310523,0.66538037,0.50312221,0.56082474,0.86412593,0.77718676,0.53939935,23.27408638,"Madison Bumgarner",5524,518516
"Brian Schlitter","CHC",56.1,0.27419355,0.60566449,0.44456887,0.75630252,0.9352518,0.88161209,0.51399776,23.27332242,"Brian Schlitter",3599,489295
"Bobby Korecky","TOR",3.1,0.27272727,0.84,0.51724138,0.77777778,0.85714286,0.83333333,0.43103448,23.27272727,"Bobby Korecky",4608,445090
"A.J. Burnett","PHI",213.2,0.22865854,0.58923668,0.41837619,0.46933333,0.90959925,0.79558011,0.52614851,23.27144013,"A.J. Burnett",512,150359
"Blake Wood","CLE",6.1,0.13114754,0.57894737,0.34745763,0.625,0.90909091,0.85365854,0.48305085,23.25842697,"Blake Wood",1345,502028
"Aroldis Chapman","CIN",54,0.32196162,0.61373391,0.46737968,0.45033113,0.62587413,0.56521739,0.49839572,23.25321888,"Aroldis Chapman",10233,547973
"Nate Adcock","TEX",10,0.25,0.62962963,0.41621622,0.38461538,0.92156863,0.74025974,0.43783784,23.20740741,"Nate Adcock",3282,502264
"Ryan Mattheus","WSN",8.2,0.33333333,0.71428571,0.48760331,0.70833333,0.97142857,0.86440678,0.40495868,23.2027027,"Ryan Mattheus",7169,458919
"Casey Fien","MIN",63.1,0.29126214,0.68815331,0.52231237,0.69166667,0.8278481,0.7961165,0.5821501,23.17774566,"Casey Fien",3926,502272
"Jeanmar Gómez","PIT",62,0.31212724,0.63800905,0.46455026,0.68789809,0.88652482,0.81548975,0.46772487,23.17620482,"Jeanmar Gomez",9033,491646
"Phil Klein","TEX",19,0.2109375,0.62790698,0.45,0.48148148,0.74074074,0.68888889,0.57333333,23.16964286,"Phil Klein",12675,607309
"Max Scherzer","DET",220.1,0.28613744,0.64690722,0.47905182,0.58178054,0.81832669,0.75258918,0.53472988,23.16756757,"Max Scherzer",3137,453286
"Alex Wilson","BOS",28.1,0.26,0.66037736,0.46601942,0.65384615,0.93571429,0.859375,0.51456311,23.14864865,"Alex Wilson",9239,543935
"Joe Kelly","- - -",96.1,0.21215881,0.61730013,0.40917782,0.64327485,0.89384289,0.8271028,0.486297,23.1360424,"Joe Kelly",9761,523260
"Danny Duffy","KCR",149.1,0.25297892,0.64701436,0.46893123,0.70289855,0.89135514,0.84540636,0.54805302,23.10747126,"Danny Duffy",3542,518633
"David Phelps","NYY",113,0.225,0.56426332,0.3943662,0.72685185,0.91666667,0.86243386,0.49921753,23.07313541,"David Phelps",6316,475479
"Jake Diekman","PHI",71,0.29402516,0.59909228,0.44949884,0.45454545,0.80808081,0.69468268,0.50963763,23.07142857,"Jake Diekman",5003,518617
"Drew Pomeranz","OAK",69,0.24855491,0.5908347,0.43362832,0.62015504,0.87534626,0.80816327,0.54070796,23.04738761,"Drew Pomeranz",11426,519141
