Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Josh Spence","SDP",0.30882353,0.58378378,0.42013129,0.58333333,0.78703704,0.69791667,0.404814,0.52845528,0.12159329,0.18658281,0.3081761,"Josh Spence",11260,543805
"John Axford","MIL",0.27393225,0.60682226,0.42394822,0.60752688,0.86686391,0.77480916,0.45064725,0.61639344,0.09516129,0.21209677,0.30725806,"John Axford",9059,446099
"Addison Reed","CHW",0.35384615,0.7,0.53333333,0.56521739,0.7755102,0.70833333,0.51851852,0.60606061,0.16058394,0.1459854,0.30656934,"Addison Reed",10586,592665
"Cliff Lee","PHI",0.30448926,0.61156132,0.47225502,0.67948718,0.85070671,0.800625,0.54634002,0.64891304,0.09432853,0.21216574,0.30649427,"Cliff Lee",1636,424324
"Frank Francisco","TOR",0.27880184,0.6627907,0.46990741,0.63636364,0.81403509,0.76108374,0.49768519,0.59174312,0.11085714,0.19542857,0.30628571,"Frank Francisco",1933,407911
"Yhency Brazoban","ARI",0.22222222,0.625,0.41176471,0.64285714,0.88571429,0.81632653,0.47058824,0.5483871,0.07438017,0.23140496,0.30578512,"Yhency Brazoban",2150,430674
"Darren O'Day","TEX",0.28571429,0.61481481,0.44727273,0.475,0.90361446,0.76422764,0.49090909,0.67567568,0.10545455,0.2,0.30545455,"Darren O'Day",3321,503285
"Samuel Deduno","SDP",0.29032258,0.52941176,0.41538462,0.33333333,0.88888889,0.7037037,0.52307692,0.52941176,0.11594203,0.1884058,0.30434783,"Samuel Deduno",5285,465679
"Cory Gearrin","ATL",0.2345679,0.52205882,0.36577181,0.65789474,0.84507042,0.77981651,0.45637584,0.64705882,0.0776699,0.22653722,0.30420712,"Cory Gearrin",7947,518715
"Tommy Hanson","ATL",0.27750411,0.63129689,0.43096234,0.59171598,0.85568761,0.75943905,0.43375174,0.60925926,0.10281236,0.19963117,0.30244352,"Tommy Hanson",9129,462102
"Troy Patton","BAL",0.28451883,0.66964286,0.47084233,0.66176471,0.84,0.78440367,0.4838013,0.54621849,0.1006424,0.2012848,0.30192719,"Troy Patton",8368,461856
"Juan Gutierrez","ARI",0.29906542,0.656,0.43067847,0.578125,0.82926829,0.71917808,0.36873156,0.51111111,0.12094395,0.179941,0.30088496,"Juan Gutierrez",3265,434641
"Aroldis Chapman","CIN",0.29356061,0.63305322,0.43050847,0.52903226,0.77876106,0.67716535,0.40338983,0.52657005,0.13898305,0.16158192,0.30056497,"Aroldis Chapman",10233,547973
"Randy Choate","FLA",0.23660714,0.60773481,0.40246914,0.45283019,0.81818182,0.6993865,0.44691358,0.53398058,0.11583924,0.18439716,0.30023641,"Randy Choate",813,329092
"Octavio Dotel","- - -",0.28900256,0.67770419,0.49763033,0.6460177,0.80130293,0.75952381,0.53672986,0.66513761,0.11840563,0.18171161,0.30011723,"Octavio Dotel",555,136734
"Mark Hamburger","TEX",0.35294118,0.58181818,0.44285714,0.6,0.9375,0.77419355,0.39285714,0.5483871,0.1,0.2,0.3,"Mark Hamburger",5329,523648
"Hisanori Takahashi","LAA",0.30795848,0.61065574,0.44652908,0.65730337,0.83892617,0.7710084,0.45778612,0.6227758,0.09963437,0.20018282,0.29981718,"Hisanori Takahashi",10091,538227
"Tim Byrdak","NYM",0.28395062,0.61311475,0.44356121,0.47826087,0.87165775,0.74193548,0.48489666,0.55952381,0.11162791,0.1875969,0.29922481,"Tim Byrdak",1995,136263
"Joe Paterson","ARI",0.30140845,0.54166667,0.39831933,0.63551402,0.88461538,0.7721519,0.40336134,0.56,0.09060403,0.20805369,0.29865772,"Joe Paterson",2565,519110
"Jesse Crain","CHW",0.30985915,0.66872428,0.46488889,0.57070707,0.78461538,0.70363289,0.432,0.61940299,0.13525305,0.16317627,0.29842932,"Jesse Crain",4817,430884
"Louis Coleman","KCR",0.31884058,0.64,0.45854657,0.59659091,0.79779412,0.71875,0.43500512,0.62704918,0.12562313,0.17248255,0.29810568,"Louis Coleman",9720,488786
"Joakim Soria","KCR",0.25233645,0.61706349,0.4292589,0.7037037,0.81993569,0.78475336,0.48508181,0.578125,0.09230769,0.20576923,0.29807692,"Joakim Soria",6941,465657
"CC Sabathia","NYY",0.34045802,0.65091367,0.47916667,0.61285501,0.86156825,0.76380729,0.44679054,0.62436548,0.11209767,0.18562708,0.29772475,"CC Sabathia",404,282332
"Marco Estrada","MIL",0.29792148,0.62462908,0.44090909,0.68217054,0.80760095,0.75994109,0.43766234,0.57480315,0.10522918,0.19238218,0.29761136,"Marco Estrada",1118,462136
"Brandon Beachy","ATL",0.33285199,0.6639839,0.47120639,0.58785249,0.8469697,0.74041035,0.41782261,0.6108291,0.12081092,0.17583782,0.29664874,"Brandon Beachy",8851,545404
"Michael Wuertz","OAK",0.27440633,0.60546875,0.40787402,0.48076923,0.81290323,0.67953668,0.40314961,0.47530864,0.12691131,0.16972477,0.29663609,"Michael Wuertz",1856,430900
"Cory Wade","NYY",0.35833333,0.63492063,0.47222222,0.71317829,0.84375,0.78546713,0.41176471,0.70063694,0.1009772,0.19543974,0.29641694,"Cory Wade",7570,460677
"Junichi Tazawa","BOS",0.1875,0.68181818,0.38888889,0.66666667,0.8,0.76190476,0.40740741,0.69230769,0.09259259,0.2037037,0.2962963,"Junichi Tazawa",4079,547749
"Cole Hamels","PHI",0.31376147,0.64753545,0.47240051,0.59844055,0.83733055,0.75407609,0.47528883,0.62235294,0.1155811,0.1807152,0.2962963,"Cole Hamels",4972,430935
"Stephen Strasburg","WSN",0.31927711,0.67701863,0.49541284,0.62264151,0.85321101,0.77777778,0.49235474,0.71590909,0.1097561,0.18597561,0.29573171,"Stephen Strasburg",10131,544931
"Zack Greinke","MIL",0.3143695,0.63732394,0.44350581,0.5988806,0.87569061,0.75793651,0.3998592,0.6041958,0.10735656,0.18831397,0.29567054,"Zack Greinke",1943,425844
"Casey Janssen","TOR",0.30204082,0.60686016,0.43498274,0.70945946,0.86521739,0.8042328,0.43613349,0.64125561,0.08437856,0.21094641,0.29532497,"Casey Janssen",7355,445163
"Ramon Pena","CHW",0.23163842,0.60509554,0.40718563,0.56097561,0.90526316,0.80147059,0.47005988,0.53608247,0.07894737,0.21637427,0.29532164,"Ramon Pena",4573,430963
"Joaquín Benoit","DET",0.35064935,0.6761658,0.4760479,0.62037037,0.7816092,0.70859539,0.38522954,0.58506224,0.13789683,0.15674603,0.29464286,"Joaquin Benoit",1437,276542
"Antonio Bastardo","PHI",0.35283364,0.71289538,0.50730689,0.57512953,0.778157,0.69753086,0.42901879,0.60444444,0.15352697,0.14107884,0.29460581,"Antonio Bastardo",8844,455374
"Dane De La Rosa","TBR",0.33783784,0.69090909,0.48837209,0.48,0.86842105,0.71428571,0.42635659,0.64705882,0.13953488,0.15503876,0.29457364,"Dane De La Rosa",10095,451773
"Jose Veras","PIT",0.26497006,0.56569343,0.40049342,0.64971751,0.85483871,0.78028747,0.45065789,0.53770492,0.08706265,0.20748576,0.29454841,"Jose Veras",2063,407842
"Roy Halladay","PHI",0.34686147,0.66521469,0.49493488,0.62714509,0.86903648,0.77836257,0.46512301,0.65809218,0.10928489,0.18512111,0.294406,"Roy Halladay",1303,136880
"Edgar Gonzalez","COL",0.33333333,0.6875,0.5,0.83333333,0.63636364,0.70588235,0.47058824,0.45454545,0.14705882,0.14705882,0.29411765,"Edgar Gonzalez",1727,429440
"Fautino De Los Santos","OAK",0.28412256,0.67886179,0.4446281,0.55882353,0.82634731,0.72490706,0.40661157,0.53846154,0.12151067,0.17241379,0.29392447,"Fautino De Los Santos",5841,501745
"Jose Arredondo","CIN",0.27290448,0.59033079,0.41059603,0.53571429,0.85775862,0.73655914,0.43377483,0.50884956,0.10548977,0.1883746,0.29386437,"Jose Arredondo",4722,461766
"Kyle Farnsworth","TBR",0.31162791,0.6323185,0.4714119,0.59701493,0.87407407,0.78217822,0.49824971,0.62770563,0.10220674,0.19163763,0.29384437,"Kyle Farnsworth",278,150035
"Anthony Varvaro","ATL",0.30143541,0.625,0.44562334,0.65079365,0.82857143,0.76190476,0.44562334,0.58333333,0.10309278,0.19072165,0.29381443,"Anthony Varvaro",2385,460008
"Shaun Marcum","MIL",0.31573499,0.64581641,0.44419855,0.6295082,0.86918239,0.76512456,0.38918748,0.61725395,0.10374096,0.18956303,0.29330399,"Shaun Marcum",6204,451788
"Jerry Blevins","OAK",0.24472574,0.66321244,0.43255814,0.74137931,0.8203125,0.79569892,0.44883721,0.59016393,0.08775982,0.20554273,0.29330254,"Jerry Blevins",7841,460283
"Jonny Venters","ATL",0.35881628,0.66045549,0.47140649,0.4467354,0.84952978,0.65737705,0.37326121,0.56582633,0.1579743,0.13529856,0.29327286,"Jonny Venters",7175,458924
"Sergio Escalona","HOU",0.29083665,0.57309942,0.40521327,0.65753425,0.85714286,0.77192982,0.40521327,0.53043478,0.09219858,0.20094563,0.29314421,"Sergio Escalona",7122,465065
"Alex Torres","TBR",0.2183908,0.55072464,0.36538462,0.68421053,0.84210526,0.78947368,0.44230769,0.46153846,0.07453416,0.2173913,0.29192547,"Alex Torres",7038,456776
"J.P. Howell","TBR",0.26190476,0.55,0.39138577,0.62337662,0.89393939,0.79425837,0.4494382,0.58695652,0.07992565,0.21189591,0.29182156,"J.P. Howell",8245,434442
"Justin Verlander","DET",0.33217542,0.65791081,0.46751269,0.6745098,0.85236769,0.77850163,0.41548223,0.61403509,0.10352702,0.18827709,0.29180411,"Justin Verlander",8700,434378
"Juan Abreu","HOU",0.32183908,0.71929825,0.47916667,0.53571429,0.90243902,0.75362319,0.39583333,0.70588235,0.11805556,0.17361111,0.29166667,"Juan Abreu",6306,444874
"Chris Capuano","NYM",0.31472081,0.62876009,0.46036067,0.57459677,0.8798133,0.76792313,0.46376318,0.63715711,0.10634706,0.18501013,0.29135719,"Chris Capuano",1701,425626
"Bobby Jenks","BOS",0.23333333,0.62676056,0.42465753,0.6,0.83146067,0.76612903,0.48630137,0.5625,0.09931507,0.19178082,0.29109589,"Bobby Jenks",8645,408057
"Dallas Braden","OAK",0.328125,0.61788618,0.47011952,0.73809524,0.85526316,0.81355932,0.49003984,0.71232877,0.0876494,0.20318725,0.29083665,"Dallas Braden",8099,460284
