Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Lance Lynn","STL",34.2,0.37455197,,,,,0.35842294,0.01792115,0.22222222,,,0.02688172,,,,"Lance Lynn",2520,458681
"Mason Tobin","TEX",5.1,0.15053763,,,,,0.5483871,0.10752688,,,,0.19354839,,,,"Mason Tobin",2534,474226
"Eric Surkamp","SFG",26.2,0.44017094,,,,,0.07264957,0.10042735,0.2542735,,,0.13247863,,,,"Eric Surkamp",2540,474668
"Juan Pablo Perez","PHI",5,0.07142857,,,,,0.41666667,0.51190476,,,,,,,,"Juan Pablo Perez",2557,448722
"Joe Paterson","ARI",34,0.24789207,,,,,0.25801012,0.38785835,,,,0.10623946,,,,"Joe Paterson",2565,519110
"Bryan Petersen","FLA",1,0.55555556,,0.27777778,,,,0.05555556,,,,0.11111111,,,,"Bryan Petersen",2567,519128
"Enrique Gonzalez","DET",9,0.51111111,,,,,0.01111111,0.37222222,0.03888889,,,0.06666667,,,,"Enrique Gonzalez",2568,434619
"Robinson Tejeda","KCR",7.1,0.38571429,,,,,0.15,0.1,,,,0.36428571,,,,"Robinson Tejeda",2575,434565
"Wandy Rodriguez","HOU",191,0.29134615,,0.01474359,,,0.22371795,,0.37147436,,,0.09871795,,,,"Wandy Rodriguez",2586,434643
"Jhoulys Chacín","COL",194,0.39585327,,0.0245614,,,0.17926635,0.21275917,0.08421053,,,0.10334928,,,,"Jhoulys Chacin",2608,468504
"Scott Atchison","BOS",30.1,0.44820296,,,,,0.00422833,0.47145877,0.07188161,,,0.00422833,,,,"Scott Atchison",2642,425786
"Brian Matusz","BAL",49.2,0.49145299,,0.09081197,,,0.01068376,0.13354701,0.11752137,,,0.15598291,,,,"Brian Matusz",2646,451085
"Brett Cecil","TOR",123.2,0.386066,,0.00785752,,,0.12991095,0.11838659,0.05028811,,,0.30749083,,,,"Brett Cecil",2660,446399
"Joba Chamberlain","NYY",28.2,0.57042254,,,,,,0.29812207,0.11971831,,,0.01173709,,,,"Joba Chamberlain",2692,501955
"Rick Porcello","DET",182,0.29001751,,,,,0.36567426,0.19474606,0.02661996,,,0.12294221,,,,"Rick Porcello",2717,519144
"Brian Sanches","FLA",61.2,0.45762712,,,,0.23728814,0.15442561,0.14030132,0.0094162,,,0.00094162,,,,"Brian Sanches",2739,430083
"Bobby Cramer","OAK",8.1,0.36842105,,0.28070175,,,,0.00877193,0.31578947,,,0.02631579,,,,"Bobby Cramer",2744,450864
"Joel Carreno","TOR",15.2,0.15384615,,,,,0.26244344,0.52941176,,,,0.05429864,,,,"Joel Carreno",2746,468528
"Carlos Marmol","CHC",74,0.35041551,,0.00692521,,,0.00831025,0.63365651,,,,0.00069252,,,,"Carlos Marmol",2790,461791
"Joe Savery","PHI",2.2,0.5862069,,,,,,0.4137931,,,,,,,,"Joe Savery",2835,456045
"John Gaub","CHC",2.2,0.43396226,,,,,0.01886792,0.52830189,,,,0.01886792,,,,"John Gaub",2857,453304
"Daniel Moskos","PIT",24.1,0.28686327,,,,,0.33512064,0.26541555,,,,0.11260054,,,,"Daniel Moskos",2858,446290
"Ross Detwiler","WSN",66,0.24435318,,,,,0.49178645,0.12833676,,,,0.13552361,,,,"Ross Detwiler",2859,446321
"Santiago Casilla","SFG",51.2,0.15230224,,,,,0.53246753,0.19008264,,0.12514758,,,,,,"Santiago Casilla",2873,433586
"Juan Carlos Oviedo","FLA",64.1,0.42319128,,,,,0.21010902,0.09018831,,,,0.2765114,,,,"Juan Carlos Oviedo",2886,434663
"Zach McAllister","CLE",17.2,0.55688623,,,,,0.08383234,0.21257485,0.08083832,,,0.06586826,,,,"Zach McAllister",2895,502083
"Jeff Locke","PIT",16.2,0.06143345,,,,,0.63139932,,,0.14334471,,0.16382253,,,,"Jeff Locke",2929,502046
"Eduardo Sanchez","STL",30,0.61473684,,,,,0.05473684,0.32210526,,,,0.00842105,,,,"Eduardo Sanchez",2966,500674
"Sean Green","MIL",11.2,0.26903553,,,,,0.46192893,,0.25888325,,,0.01015228,,,,"Sean Green",3001,434958
"Bruce Billings","- - -",7,0.60784314,,0.02614379,,,0.09150327,0.20915033,0.00653595,,,0.05882353,,,,"Bruce Billings",3044,501852
"Anthony Slama","MIN",2.1,0.32075472,,,,,0.39622642,,0.28301887,,,,,,,"Anthony Slama",3064,460104
"Kenley Jansen","LAD",53.2,0.08375894,,0.78447395,,,,0.12563841,,,,0.0061287,,,,"Kenley Jansen",3096,445276
"Doug Slaten","WSN",16.1,0.29411765,,,,,0.29044118,0.28676471,,,,0.12867647,,,,"Doug Slaten",3107,460657
"Duane Below","DET",29,0.57563025,,0.0987395,,,0.02310924,0.16596639,,,,0.13655462,,,,"Duane Below",3124,502102
"Luis Mendoza","KCR",14.2,0.52970297,,0.03465347,,,0.23267327,0.11881188,,,,0.08415842,,,,"Luis Mendoza",3126,434669
"Graham Godfrey","OAK",25,0.62962963,,0.06481481,,,0.02083333,0.12037037,0.09027778,,,0.07407407,,,,"Graham Godfrey",3128,453232
"Tony Watson","PIT",41,,,,,,0.7744,0.104,,,,0.1216,,,,"Tony Watson",3132,453265
"Max Scherzer","DET",195,0.57168566,,0.00209958,,,0.04079184,0.17996401,,,,0.20545891,,,,"Max Scherzer",3137,453286
"Tim Collins","KCR",67,0.61369193,,0.00488998,,,,,0.19722901,,,0.18418908,,,,"Tim Collins",3164,525768
"Clayton Mortensen","COL",58.1,0.08765859,,,,,0.3621684,0.19953864,,,,0.35063437,,,,"Clayton Mortensen",3166,489150
"David Price","TBR",224.1,0.29330065,,0.07652505,,,0.41830065,0.00599129,,0.09340959,,0.11247277,,,,"David Price",3184,456034
"Chris Young","NYM",24,0.64646465,,,,,,0.16414141,0.01515152,,,0.17424242,,,,"Chris Young",3196,432934
"Ervin Santana","LAA",228.2,0.56971995,,,,,0.01691949,0.38331389,,,,0.03004667,,,,"Ervin Santana",3200,429722
"Francisco Liriano","MIN",134.1,0.12274527,,,,,0.39067312,0.291685,0.00131984,,,0.19357677,,,,"Francisco Liriano",3201,434538
"Jose G. Valdez","HOU",14,0.4379845,,,,,0.16666667,0.38372093,,,,0.01162791,,,,"Jose G. Valdez",3217,451990
"Josh Stinson","NYM",13,0.47881356,,,,,0.1440678,0.27966102,0.05932203,,,0.03813559,,,,"Josh Stinson",3219,502139
"Zack Britton","BAL",154.1,0.26730692,,,,,0.47939176,0.12484994,,,,0.12845138,,,,"Zack Britton",3240,502154
"Josh Roenicke","COL",16.2,0.4029304,,,,,0.17948718,0.27106227,0.13919414,,,0.00732601,,,,"Josh Roenicke",3241,502158
"Jeff Samardzija","CHC",88,0.44186047,,0.01063123,0.10365449,,0.13421927,0.30830565,,,,0.0013289,,,,"Jeff Samardzija",3254,502188
"Juan Gutierrez","ARI",18.1,0.35522388,,,,,0.28955224,,0.31044776,,,0.04477612,,,,"Juan Gutierrez",3265,434641
"Jordan Walden","LAA",60.1,0.81267474,,,,,,0.15750233,,,,0.02982293,,,,"Jordan Walden",3271,477229
"Roberto Hernandez","CLE",188.2,0.06212425,,,,,0.62792251,0.1255845,,,,0.18436874,,,,"Roberto Hernandez",3273,433584
"Joe Smith","CLE",67,0.20440882,,,,,0.48997996,0.30561122,,,,,,,,"Joe Smith",3281,501925
"Nate Adcock","KCR",60.1,0.11684211,,,,,0.48210526,0.12526316,,0.10210526,,0.17368421,,,,"Nate Adcock",3282,502264
"Hiroki Kuroda","LAD",202,0.22288588,,,0.15498271,,0.37786859,0.19207796,0.05218485,,,,,,,"Hiroki Kuroda",3283,493133
"Aníbal Sánchez","FLA",196.1,0.41909233,,0.00938967,0.18028169,,0.09984351,0.21189358,0.07856025,,,0.00093897,,,,"Anibal Sanchez",3284,434671
"Hector Noesí","NYY",56.1,0.52201933,,,,,0.04189044,0.21160043,0.13748657,,,0.08700322,,,,"Hector Noesi",3292,456051
"Chris Hatcher","FLA",10.1,0.55384615,,,0.15897436,,0.12820513,0.15897436,,,,,,,,"Chris Hatcher",3299,501822
"Alberto Castillo","ARI",11.2,,,,,,0.46590909,0.41477273,,,,0.11931818,,,,"Alberto Castillo",3316,441368
"Darren O'Day","TEX",16.2,0.28,,,,,0.32727273,0.38545455,,,,0.00727273,,,,"Darren O'Day",3321,503285
"Jairo Asencio","ATL",10.1,0.24725275,,,,,0.25274725,0.17582418,,,,0.32417582,,,,"Jairo Asencio",3332,446003
"Matt Garza","CHC",198,0.39065951,,,,,0.14452509,0.23792995,0.11928053,,,0.10760492,,,,"Matt Garza",3340,490063
