Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Jesse Chavez","KCR",7.2,11.182708740234375,,2.362592485215929,,,6.6317497253417965,,-8.93999971662249,,,4.901111178927952,,,"Jesse Chavez",5448,445926
"Arodys Vizcaíno","ATL",17.1,8.891475489882172,,,,,7.908027756382042,-2.31981309552059,,,,6.960000174386161,,,"Arodys Vizcaino",5498,527055
"Dana Eveland","LAD",29.2,4.734794721211473,,,,,3.581747032073607,-2.983091042258523,-9.834827291554419,,,5.830526251541941,,,"Dana Eveland",5508,445968
"Tim Dillard","MIL",28.2,-3.374271722487461,,,,,-3.6063769059480677,-0.4014173192302073,,,,-2.7416128343151462,,,"Tim Dillard",5518,457422
"James McDonald","PIT",171,10.353084166737144,,,,,8.141155617774567,0.9956617916331572,-8.419890915138135,,,6.3475126750728625,,,"James McDonald",5523,457428
"Madison Bumgarner","SFG",204.2,8.022737788228156,,3.544650113479746,,,7.081385848545792,6.920000076293945,-3.7146285574776785,,,3.450232454048571,,,"Madison Bumgarner",5524,518516
"Boone Logan","NYY",41.2,9.407188334074734,,,,,7.314962516153665,0.45497941382137347,,,,5.742142813546317,,,"Boone Logan",5525,457429
"Maikel Cleto","STL",4.1,7.5003172859313,,,,,2.4524998664855957,-0.7739285741533551,,,,,,,"Maikel Cleto",5529,521055
"Phil Coke","DET",108.2,7.434950728858481,,,,,6.0619950272107905,-3.7593120609948394,0.5899999737739563,,,4.34511631218962,,,"Phil Coke",5535,457435
"Matt Harrison","TEX",185.2,10.320506081802433,,4.124204963292831,,,7.452161651090003,,-3.6498217958833727,,,7.570765737141149,,,"Matt Harrison",5551,457448
"Jair Jurrjens","ATL",152,9.103012002302275,,9.384285440250318,,,7.873074528468851,2.4655855196016327,,,,6.660837752415037,,,"Jair Jurrjens",5556,457453
"Jo-Jo Reyes","- - -",140.2,8.739810437654194,,,,,8.345925196639008,0.39910156838595867,-4.893181930888783,,,6.121414248790805,,,"Jo-Jo Reyes",5559,457456
"Mitch Stetter","MIL",7,4.03255799759266,,,,,4.319999694824219,2.5399999508912536,,,,6.3040000915527346,,,"Mitch Stetter",5579,449777
"Tyler Clippard","WSN",88.1,11.322490021261233,,4.342342342342342,,,,,-4.396235207950368,,,9.313540566934122,,,"Tyler Clippard",5640,461325
"Henderson Alvarez III","TOR",63.2,6.108009620949074,,6.266666412353516,,,3.655641637363162,0.7297894929584704,,,,0.8537059110753676,,,"Henderson Alvarez III",5669,506693
"Jason Berken","BAL",47,9.050922294972475,,9.568807748647837,,,7.397068370472301,1.0921671883004611,,,,6.694755740282012,,,"Jason Berken",5673,460072
"Tim Lincecum","SFG",217,9.630721802350799,,,,,8.687396801614481,1.2980101715653984,-4.308034261067708,,,2.606486666307246,,,"Tim Lincecum",5705,453311
"Greg Reynolds","COL",32,6.3990782285066246,,,1.149999976158142,,6.245151404178504,4.1987034832989725,-3.7977776905846974,,,4.223448128535829,,,"Greg Reynolds",5712,453353
"Josh Lueke","SEA",32.2,7.861739069778727,,,-1.4796240096701716,,4.980588127585018,-5.20770263671875,,,,,,,"Josh Lueke",5722,518961
"Eric O'Flaherty","ATL",73.2,8.18810283954327,,,,,5.074153560618456,0.7829900088896387,,,,3.684047517322359,,,"Eric O'Flaherty",5746,447714
"Fautino De Los Santos","OAK",33.1,6.577499866485596,,,,,6.94464452133566,-3.1867894222861843,,,,2.6400000628303077,,,"Fautino De Los Santos",5841,501745
"Chad Billingsley","LAD",188,7.57701301876981,,2.650345979844522,,,5.907377752270932,-8.392411324431146,-9.929886557839133,,,3.550927860220683,,,"Chad Billingsley",5842,451532
"Jason Motte","STL",68,9.60536361150099,,3.1529165197301796,,,4.613451392249724,1.584090839732777,,,,4.164999961853027,,,"Jason Motte",5861,435400
"Jeff Karstens","PIT",162.1,7.859800486765521,,6.249268322456174,,,5.367303474416745,-0.7648918822004989,-5.553698206794333,,,2.927207121977935,,,"Jeff Karstens",5879,444371
"Sean Marshall","CHC",75.2,6.945288968373494,,,,,5.49457614704714,1.4743815988734148,-6.324968277269108,,,,,,"Sean Marshall",5905,445156
"Pat Misch","NYM",7,6.901875019073486,,,,,7.1796548777613145,,-5.946922889122596,,,2.468823601217831,,,"Pat Misch",5909,435619
"Wesley Wright","HOU",12,7.899523780459449,,,,,5.003296569153503,0.9188888691089772,,-4.515555487738715,,,,,"Wesley Wright",5960,449079
"Pedro Viola","BAL",3.2,8.157948811848959,,,,,9.335652226987092,-2.2805882622213924,,,,3.2899999618530273,,,"Pedro Viola",5971,501638
"Jonathan Papelbon","BOS",64.1,8.467173436448519,,11.97249984741211,1.650933329264323,,3.009999990463257,-2.2046392381805733,,,,,,,"Jonathan Papelbon",5975,449097
"Randall Delgado","ATL",35,9.416844636491202,,,,,7.058578192018995,,-2.598571341378348,,,4.662481823106752,,,"Randall Delgado",5985,517414
"Jim Hoey","MIN",24.2,10.766468293076262,,10.506990006826456,,,,3.486666785346137,,,,6.238740215151329,,,"Jim Hoey",6007,460597
"Takashi Saito","MIL",26.2,9.481057974008413,,,,,3.17456519085428,0.3618518688060619,-5.822712009235964,,,,,,"Takashi Saito",6021,493416
"Kelvin Herrera","KCR",2,9.920869246773098,,,,,,,-6.543333689371745,,,2.5466667811075845,,,"Kelvin Herrera",6033,516969
"John Ely","LAD",12.2,8.167289662583967,,4.346451543992566,,,8.17195138698671,,-8.779999646273525,,,6.179411719827091,,,"John Ely",6132,518655
"Dusty Hughes","MIN",12.2,11.53061224489796,,,,,7.109999883742559,3.7750000953674316,-2.7300000871930803,,-2.559999942779541,5.1022580054498485,,,"Dusty Hughes",6164,458250
"Scott Baker","MIN",134.2,10.747142749828297,,,,,8.943915473090279,1.2257499631245932,,,,6.381345895620493,,,"Scott Baker",6176,435044
