Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Aaron Nola","PHI",180.2,8.090988927607913,,4.070555977199389,,,5.0548265966681445,,,-6.060946156171973,,1.2931120634483766,,,"Aaron Nola",16149,605400
"Jace Fry","CHW",6.2,8.837637650339227,,-0.4664980980657762,,,3.4304625193277993,,-5.076536005193537,,,4.361363410949707,,,"Jace Fry",16159,605240
"Brandon Woodruff","MIL",179.1,9.736429184266104,,,,,7.707606654668775,-1.295344186336436,-6.608881112180324,,,4.174902834484925,,,"Brandon Woodruff",16162,605540
"Spencer Turnbull","DET",50,7.194384928929765,,,,,4.4166539809283085,-0.1201823585911801,-7.031516765726024,,,1.2706935487944504,,,"Spencer Turnbull",16207,605513
"Jake Reed","- - -",10,5.908995151519775,,,,,-2.456460120461204,1.5385323326186378,,,,,,,"Jake Reed",16209,596082
"Tejay Antone","CIN",33.2,9.213204829650518,,,,,,-0.753031323527732,-6.024948783542799,,,,,,"Tejay Antone",16233,622088
"Kyle Freeland","COL",120.2,7.417828292527458,,,,,3.7596221923828126,2.802627101089015,,-5.236194986979167,,4.355132679880401,,,"Kyle Freeland",16256,607536
"Aaron Bummer","CHW",56.1,,,1.0768992449786212,,,0.7045959885753754,-2.6763563223764404,,,,-0.7276305357615153,,,"Aaron Bummer",16258,607481
"Sam Howard","PIT",45,10.398867230324395,,,,,7.176918029785156,3.258721112190409,,,,7.677520751953125,,,"Sam Howard",16265,607572
"John Means","BAL",146.2,11.910080995183693,,,,,,5.5501708984375,-3.8343443029067097,-3.7766772741558907,,10.1074241854791,,,"John Means",16269,607644
"Alex Blandino","CIN",3.2,6.55995067651721,,,,,,,2.541689078013102,,,,,,"Alex Blandino",16271,607468
"Sam Clay","WSN",45,,,,,,4.302195883696934,-2.2416592033541933,,,,2.5340887292639,,,"Sam Clay",16279,621348
"Jesus Tinoco","COL",1.1,8.945420005104758,,,7.8560357093811035,,7.04386223687066,9.606084823608398,1.9783767700195312,,,,,,"Jesus Tinoco",16300,622786
"Alex McRae","CHW",2,9.031892776489258,,,,,6.213186264038086,,-0.9538877010345459,,,1.384668496938852,,,"Alex McRae",16317,656725
"Ryan Borucki","TOR",23.2,,,,,,6.6834957577766625,0.8525535646548941,,,,6.72976592092803,,,"Ryan Borucki",16350,621366
"Tyler Mahle","CIN",180,9.883150872863878,,4.873607065485812,4.93037979579208,,,4.026594059641768,,,,,,,"Tyler Mahle",16358,641816
"Ryan Castellani","COL",3.1,5.675454573197798,,,,,3.9250000847710504,2.741428647722517,-3.8450000286102295,,,3.682499885559082,,,"Ryan Castellani",16377,624418
"Brad Wieck","CHC",17,11.007196241809476,,,,,,4.127023315429687,,-9.257948521205357,,,,,"Brad Wieck",16390,623364
"Reynaldo López","CHW",57.2,9.871524030991022,,,,,,2.5400339120570044,-5.41908485944881,,,5.727362314860026,,,"Reynaldo Lopez",16400,625643
"Francisco Mejía","TBR",2,8.812695503234863,,9.309539794921875,,,,9.738643101283483,3.142152214050293,,,,,,"Francisco Mejia",16403,642336
"Victor González","LAD",35.1,,,,,,4.554559354658251,0.3563730228378112,,,,,,,"Victor Gonzalez",16408,624647
"Blake Taylor","HOU",42.2,9.146986169568727,,,,,,-0.35250735977320996,,,,,,,"Blake Taylor",16418,642130
"Jordan Luplow","TBR",1,9.902628580729166,,,,,,,,,9.193087259928385,,,,"Jordan Luplow",16424,656669
"Scott Blewett","KCR",5,7.902092827690972,,,,,8.447452969021267,1.8141249084472657,,,,5.973544120788574,,,"Scott Blewett",16427,656240
"Christian Arroyo","BOS",1,8.19686508178711,,,,,,,,,,,,,"Christian Arroyo",16434,624414
"James Norwood","SDP",5,8.514223965731533,,,2.456761360168457,,,0.8958981037139893,,,,,,,"James Norwood",16440,656803
"Luis Guillorme","NYM",1,9.312928199768066,,,,,,,,,,,,,"Luis Guillorme",16451,641645
"Conner Greene","- - -",25.1,9.454248549062994,,,,,8.806682252047354,2.3641837209248715,-3.5887745551343233,,,4.776829051971435,,,"Conner Greene",16455,641632
"Brent Honeywell","TBR",4.1,8.60023655035557,,3.3184078216552733,,,,,,,,4.928091684977214,-1.1360502243041992,,"Brent Honeywell",16466,641703
"Ryan Yarbrough","TBR",155,6.736526817908654,,3.2739760093765717,,,2.8857281333521794,,2.523889065841439,,,3.693909742226731,,,"Ryan Yarbrough",16502,642232
"Dan Altavilla","SDP",1.1,8.911890203302557,,,,,,3.8264604048295454,,,,,,,"Dan Altavilla",16507,656186
"Jordan Montgomery","NYY",157.1,9.823558513934795,,5.265983624646893,,,7.609248824668142,,-1.7485797279759456,,,8.799600326976837,,,"Jordan Montgomery",16511,656756
"Dusten Knight","BAL",8.2,10.803671095106337,,1.3249728679656982,,,,,-7.743448294845282,,,5.7613333425214215,,,"Dusten Knight",16537,643400
"Austin Gomber","COL",115.1,10.636033340595949,,,,,,2.0856104385613863,,-9.329001878784602,,6.8109625922309025,,,"Austin Gomber",16561,596295
"Erik Swanson","SEA",35.1,11.220667912409855,,,3.606229285232159,,,3.394989798002154,,,,,,,"Erik Swanson",16587,657024
