Name,Team,IP,Pit+ FA,Pit+ SI,Pit+ FC,Pit+ FS,Pit+ SL,Pit+ CU,Pit+ CH,Pit+ KC,Pit+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Richard Lovelady","KCR",20.2,101.22171428571427,101.06679245283019,,,117.3528662420382,,,,,99.99872611464967,108.89458598726112,109.1430573248408,"Richard Lovelady",19337,663992
"Sean Doolittle","- - -",49.2,113.79790070921985,,,74.48820512820512,89.0142530612245,97.18615384615383,,,,113.85162118633764,98.53763968234676,109.10263056602246,"Sean Doolittle",1581,448281
"Jordan Montgomery","NYY",157.1,90.87033653846153,105.55469026548671,100.33977401129943,,,119.42168595041322,119.19594249201279,,,108.41699570815449,102.50753023800232,109.01848614904402,"Jordan Montgomery",16511,656756
"A.J. Minter","ATL",52.1,108.46430107526884,,108.03560723514211,,,,115.38512820512821,,,119.23898966704934,92.4436739380023,108.99380022962109,"A.J. Minter",18655,621345
"Richard Bleier","MIA",58,91.73500000000001,119.39723809523815,88.22402515723272,,102.44232558139537,,71.33777777777777,,,117.50197640117993,96.43333333333332,108.92669616519181,"Richard Bleier",7803,542947
"Luis Patiño","TBR",77.1,113.30911729141476,119.26232558139534,,,106.70138504155126,97.40515151515152,66.71735294117649,,,110.95491575091572,96.65446153846152,108.65907692307694,"Luis Patino",22815,672715
"Joely Rodríguez","- - -",46.1,78.5515,116.08764525993882,,,51.2648275862069,,118.25866666666664,,,108.12934524066921,98.70197719331401,108.64893174777175,"Joely Rodriguez",11487,570257
"Kutter Crawford","BOS",2,115.26,,106.02,,,,,104.4,,93.51543859649121,109.71543859649123,108.60912280701754,"Kutter Crawford",20531,676710
"Sergio Romo","OAK",61.2,93.54476190476188,91.55663608562689,,,123.0961724137931,,86.49578947368421,,,103.51691275167784,106.53697027804408,108.59601150527328,"Sergio Romo",9817,489265
"Andrew Heaney","- - -",129.2,113.4677279521674,,,,98.273,101.37032402263506,102.24330049261083,,,108.33039778337616,103.5995313882611,108.5938829940663,"Andrew Heaney",15423,571760
"Jameson Taillon","NYY",144.1,116.21221750212402,103.64821705426358,122.9061313868613,,110.96351648351649,93.6855111111111,80.01669064748202,,,98.46720637583891,109.23338087248318,108.5625755033557,"Jameson Taillon",11674,592791
"Brooks Raley","HOU",49,73.3,102.25083969465649,110.7285714285714,,127.66106557377046,103.07221238938051,50.25454545454546,,,112.79199535962874,98.10424593967515,108.51148491879354,"Brooks Raley",10061,548384
"Trevor May","NYM",62.2,110.76451708766717,,,,104.66430656934308,,104.23800000000001,,,99.87730941704031,108.25734529147985,108.25244843049329,"Trevor May",6398,543507
"Spencer Turnbull","DET",50,108.1788628762542,108.262,,,117.14294736842105,83.70344827586207,103.24724137931035,,,102.5391461836999,107.30745148771022,108.23195342820183,"Spencer Turnbull",16207,605513
"Michael King","NYY",63.1,142.478202247191,112.00773831775697,101.53607843137256,,103.76912621359224,98.62666666666668,79.79603174603177,,,110.39590207041894,98.99723457579276,108.22167565117063,"Michael King",19853,650633
"Yu Darvish","SDP",166.1,100.1878431372549,83.21710526315788,91.40057142857141,78.00474074074076,122.14295347269046,92.5303937007874,,78.65490566037735,,106.06709630702399,100.77807385952201,108.05566256335999,"Yu Darvish",13074,506433
"Freddy Peralta","MIL",144.1,114.97184577522562,51.572258064516134,,,106.32206157666837,106.9507488157606,84.28596491228069,,,105.19285785977134,101.36915099963403,108.0313681189093,"Freddy Peralta",18679,642547
"Bailey Ober","MIN",92.1,104.5542289719626,,250.57999999999998,,115.71358490566037,101.4079487179487,107.39333333333333,,,98.16357590966125,112.81198243412801,107.95543287327477,"Bailey Ober",21224,641927
"Ramón Rosso","PHI",8,94.70282352941176,,,,131.24705882352941,,99.77499999999999,,,102.54458333333334,111.2425,107.92736111111111,"Ramon Rosso",20368,665759
