Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Anthony Swarzak","MIN",59,0.23484848,0.58778626,0.41064639,0.84677419,0.92207792,0.90046296,0.49809886,,"Anthony Swarzak",7466,461872
"Ryan Webb","SDP",25.2,0.25560538,0.62555066,0.44222222,0.56140351,0.8943662,0.79899497,0.50444444,,"Ryan Webb",7474,444436
"Jack Egbert","CHW",2.2,0.18918919,0.62857143,0.40277778,1,0.95454545,0.96551724,0.48611111,,"Jack Egbert",7487,455090
"Mike Ekstrom","SDP",18.1,0.25316456,0.59493671,0.42405063,0.475,0.88297872,0.76119403,0.5,,"Mike Ekstrom",7488,455091
"Scott Elbert","LAD",19.2,0.31012658,0.62352941,0.47256098,0.59183673,0.80188679,0.73548387,0.51829268,,"Scott Elbert",7489,455092
"David Patton","CHC",27.2,0.19369369,0.58015267,0.40289256,0.53488372,0.88815789,0.81025641,0.54132231,,"David Patton",7503,456029
"Jonathan Sánchez","SFG",163.1,0.24429728,0.58630137,0.42142604,0.54819277,0.82242991,0.74579125,0.51791415,,"Jonathan Sanchez",7507,456043
"Luke French","- - -",67.1,0.2688588,0.63779528,0.47222222,0.68345324,0.87160494,0.82352941,0.55121528,,"Luke French",7529,448287
"Cory Wade","LAD",27.2,0.26760563,0.61137441,0.43867925,0.75438596,0.87596899,0.83870968,0.49764151,,"Cory Wade",7570,460677
"Cla Meredith","- - -",65.1,0.31055901,0.66869919,0.49128205,0.51333333,0.87537994,0.76200418,0.50461538,,"Cla Meredith",7613,448592
"Carlos Torres","CHW",28.1,0.21370968,0.64035088,0.41806723,0.69811321,0.86986301,0.8241206,0.4789916,,"Carlos Torres",7624,448614
"Chad Reineke","OAK",5,0.27272727,0.64444444,0.46067416,0.91666667,0.89655172,0.90243902,0.50561798,,"Chad Reineke",7641,448656
"Chris Leroux","FLA",6.2,0.32432432,0.69090909,0.48062016,0.75,0.86842105,0.82258065,0.42635659,,"Chris Leroux",7645,460092
"Andy Sonnanstine","TBR",99.2,0.24447334,0.6163311,0.44437763,0.75531915,0.8784029,0.84709066,0.53758268,,"Andy Sonnanstine",7667,458567
"Jeff Gray","OAK",26.1,0.24064171,0.69417476,0.4783715,0.57777778,0.86013986,0.79255319,0.52417303,,"Jeff Gray",7718,462522
