Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Joakim Soria","KCR",53,0.25600887381512183,,3.8620661944150925,,,3.8211611409982047,1.1520704679321825,4.856456223354544,,,-0.36552947088582627,,,"Joakim Soria",6941,465657
"Luke Hochevar","KCR",143,-1.1302508821174557,,-2.410436338848538,,,-1.3453543081434416,2.205541581486377,,-3.4008083829454554,,-4.726799029224324,,,"Luke Hochevar",6943,460024
"Kevin Mulvey","- - -",24.1,-4.927576958022502,,,,,-3.3922616053711283,2.7350323779560695,1.2295672322733926,,,10.081648388329674,,,"Kevin Mulvey",6947,453381
"Ian Kennedy","NYY",1,-0.7446206667843988,,,,,0.6129126995801926,-0.568407667534692,,31.97357952594757,,-25.832095742225647,,,"Ian Kennedy",6986,453178
"Chris Waters","BAL",11.2,1.2362469360232353,,,,,-0.7880579431851704,-0.0629735909975492,5.179342169028063,,,-0.4846968688070774,,,"Chris Waters",7015,425561
"Hung-Chih Kuo","LAD",30,1.3899686543837837,,,,,6.600577632586162,0.4991021523108849,1.8923722207546234,,,3.787431452009413,,,"Hung-Chih Kuo",7016,425539
"Merkin Valdez","SFG",49.1,0.04395753805657173,,,,,-2.3554923278944835,-3.9799796210394964,-3.112051635980606,,,1.2553601951922402,,,"Merkin Valdez",7019,429723
"James Shields","TBR",219.2,-0.7473566373760011,,0.234424926466861,,,-2.0892743141420427,,,0.2699761589368184,,1.6212343240713145,,,"James Shields",7059,448306
"Dustin Moseley","LAA",14.2,-9.863957991966835,,-6.340055167675018,,,-0.7483114798863728,,-2.836722472928605,,,5.4197050631046295,,,"Dustin Moseley",7060,400291
"Trevor Bell","LAA",20.1,-0.13357407561999815,,-6.722010374069214,,,-12.371204979717731,-9.181156499045235,,,,-4.401592739292832,,,"Trevor Bell",7074,457707
"John Lannan","WSN",206.1,-0.38129254182179767,,,,,-0.18828218733822857,-0.05983773929377397,0.09328530282731269,,,2.7145491706000433,,,"John Lannan",7080,458709
"Anthony Reyes","CLE",38.1,-1.7475165390386813,,,,,0.12836569299300513,,2.887273751772367,,,0.602479375523629,,,"Anthony Reyes",7105,435039
"Daniel Bard","BOS",49.1,0.2059716813760984,,,,,-0.6795951994982632,2.256122341862431,,,,-1.0710821549097698,,,"Daniel Bard",7115,453268
"Sergio Escalona","PHI",13.2,,,,,,1.483609549926989,,0.24332169522630406,,,-1.8856699764728546,,,"Sergio Escalona",7122,465065
"Daniel Hudson","CHW",18.2,-0.7058028727769852,,,,,,0.616183876991272,8.421690123421806,,,0.311996823265439,,,"Daniel Hudson",7146,543339
"Josh Rupe","TEX",4.2,-25.760433077812195,,,,,-6.079350656537867,-3.1406174103418985,-3.7688033921377997,,,-4.361572435923985,,,"Josh Rupe",7206,434666
"Nick Masset","CIN",76,0.3703641084989584,,4.074420134226481,3.326690392416032,,2.1185152601487567,2.662187497291339,,,,,,,"Nick Masset",7267,434665
"Craig Stammen","WSN",105.2,-0.34250506237980155,,1.047078531179855,,,-0.10492802746054056,,,-0.2048857191688994,,-1.8340983358370204,,,"Craig Stammen",7274,489334
"Brad Ziegler","OAK",73.1,4.337877035140991,,,,,0.27419986810289065,-3.8515109568834305,2.358434611353381,,,-1.8296326531304252,,,"Brad Ziegler",7293,446899
"Scott Lewis","CLE",4.1,-4.321852720008707,,,,,2.1359872359495897,7.801954944928487,0.6141307950019836,,,0.4992239673932393,,,"Scott Lewis",7322,460260
"Adam Russell","SDP",12.1,,,,,,-0.42874829365256056,1.68326609376548,,,,-3.9977189741636576,,,"Adam Russell",7334,452240
"Garrett Mock","WSN",91.1,-2.0113633849840857,,0.7824656279648052,,,-1.9364588405944108,-0.480616144738343,0.7759577075907048,,,1.3297100388814531,,,"Garrett Mock",7335,452241
"Steven Jackson","PIT",43,-1.1445583922139715,,,,,1.0585560215462884,-0.5089154166560019,,,,3.8492095470428462,,,"Steven Jackson",7341,452259
"Casey Janssen","TOR",40,-0.4339042878308833,,-0.49216747283935547,,,-2.00614326275312,-5.49053172270457,0.14468799619113698,,,-1.9675056822597978,,,"Casey Janssen",7355,445163
"J.A. Happ","PHI",166,0.6834279086455362,,,,,6.805606399263654,-0.07770834582867009,-3.8548623190985785,,,1.019332941296031,,,"J.A. Happ",7410,457918
"Paul Janish","CIN",2,-9.030777342776036,,5.293227359652519,,,,,,,,-10.400986671447754,,,"Paul Janish",7412,457926
"Mark Lowe","SEA",80,-0.21677328312369473,,,,,0.04820771515369415,3.320030516564252,,,,-2.6885058853652453,,,"Mark Lowe",7416,450275
"Wade Davis","TBR",36.1,0.7983035297803981,,,,,4.178977012634277,-0.5367324599679911,,2.8445285719794198,,-7.650652102061681,,,"Wade Davis",7441,451584
"Gio González","OAK",98.2,-1.76055417742048,,,,,1.1979994664132345,,1.3770676167436349,,,-4.196895208469657,,,"Gio Gonzalez",7448,461829
"Phil Hughes","NYY",86,1.0365947122848747,,2.4025793962700424,,,4.6085599809885025,,,-0.2928815956498468,,-2.7513908015357122,,,"Phil Hughes",7450,461833
"Steven Register","PHI",2,15.366683403650919,,,,,-8.985578536987305,9.357155453075062,,,,-7.266570627689362,,,"Steven Register",7463,461862
"Anthony Swarzak","MIN",59,-2.8946737548214707,,,,,0.4695719052530212,,-3.081968095567491,,,-1.3943751653035483,,,"Anthony Swarzak",7466,461872
"Ryan Webb","SDP",25.2,,,,,,-3.5186636182996964,2.784080824783544,,,,1.3199614360928535,,,"Ryan Webb",7474,444436
"Jack Egbert","CHW",2.2,,,,,,-4.520348012447357,,,,,-4.8637282103300095,,,"Jack Egbert",7487,455090
"Mike Ekstrom","SDP",18.1,-1.9034738341967266,,,,,3.2058184606987132,-0.07114563882350922,,,,2.225585182507833,,,"Mike Ekstrom",7488,455091
"Scott Elbert","LAD",19.2,-0.18741039380635302,,,,,,-0.007863683661199966,,,,10.10621190071106,,,"Scott Elbert",7489,455092
"David Patton","CHC",27.2,-0.33868779224228573,,,,,-4.424245193086822,-3.8515109568834305,-0.28650894848226804,,,-15.66342810789744,,,"David Patton",7503,456029
"Jonathan Sánchez","SFG",163.1,0.4692673744087032,,,,,-0.7088236089022654,1.7466199952502581,,,,-1.7187390580523612,,,"Jonathan Sanchez",7507,456043
"Luke French","- - -",67.1,-1.8216200699387577,,,,,-3.4501685823560293,1.7743256085246573,,,,-1.0349379852414131,,,"Luke French",7529,448287
"Cory Wade","LAD",27.2,1.748521746815862,,,,,-1.3715408742427826,,0.05249230143351433,,,-0.6198670655962021,,,"Cory Wade",7570,460677
"Cla Meredith","- - -",65.1,0.8484530448913573,,,,,-0.46091601572323254,-0.30604424376936323,,,,-3.6422663927078247,,,"Cla Meredith",7613,448592
"Carlos Torres","CHW",28.1,-0.0070379507587683245,,-2.822542862153389,,,0.04284965495268504,-51.328158378601074,-0.6270586340515701,,,-0.46876628290523187,,,"Carlos Torres",7624,448614
"Chad Reineke","OAK",5,-4.401292006174724,,,,,3.985506090624579,-4.930045686919113,,,,0,,,"Chad Reineke",7641,448656
"Chris Leroux","FLA",6.2,0.7959653933842977,,,,,-3.5916650996488686,-3.787099463599069,,,,-5.493304984910147,,,"Chris Leroux",7645,460092
"Andy Sonnanstine","TBR",99.2,-2.2785058488016543,,-0.33486485981301173,,,,-2.7315113693475723,-1.9564844169250621,,,,,,"Andy Sonnanstine",7667,458567
"Jeff Gray","OAK",26.1,-4.142050133195034,,,,,-0.507708060790889,1.3080791632334392,1.2351627860750471,,,7.773308952649434,,,"Jeff Gray",7718,462522
"James Parr","ATL",14,-2.58326674082193,,0.394715741276741,,,,1.0051981040409634,-13.820703327655792,,,-0.05756423084272279,,,"James Parr",7734,444970
"Hideki Okajima","BOS",61,0.6665918423451263,,,0.8105310109945444,,,,-0.7242724775723671,,,,,,"Hideki Okajima",7763,506606
"Shawn Kelley","SEA",46,0.620981426008286,,,,,,0.4602952046437307,,,,-2.96175940470262,,,"Shawn Kelley",7773,518875
"Daisuke Matsuzaka","BOS",59.1,-0.9820000190566814,,1.0092125400420158,-0.054738777689635754,,-7.591441201000679,-0.7638191317652797,-3.731192577452887,,,,,,"Daisuke Matsuzaka",7775,493137
"Chris Jakubauskas","SEA",93,-0.5175181146748398,,-6.26664012670517,,,,,0.5204733029054623,,,-0.7783040855870103,,,"Chris Jakubauskas",7831,499856
