Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Francisco Rodríguez","NYM",3,6,35,70,0,68,9.661765789903281,5.029412328990749,0.9264706921825063,0.25,0.69825436,0.350282485,0.086419753,93.3060558230378,3.7058827687300253,,4.008848567487471,4.234308241079602,0.6881434321403503,"Francisco Rodriguez",1642,408061
"Daniel Bard","BOS",2,2,1,49,0,49.1,11.493248871770513,4.013515479030972,0.9121626088706756,0.3025210084033613,0.71186441,0.45,0.116279069,97.79150209107807,3.6486504354827023,,3.380867682067627,3.2075052377128594,0.6698323488235474,"Daniel Bard",7115,453268
"Matt Albers","BAL",3,6,0,56,0,67,6.582092550291398,4.835823098173272,0.402985258181106,0.3515981735159817,0.65905097,0.48372093,0.044776119,93.89869384765625,5.507465195141782,,3.917979655602707,4.648621992755804,0.6662470102310181,"Matt Albers",4300,458006
"Pedro Feliciano","NYM",6,4,0,88,0,59.1,8.949440695574665,2.7303378393278637,1.0617980486275027,0.27848101265822783,0.74324324,0.565217391,0.155555555,86.98335266113281,3.033708710364293,,3.5521400658625053,3.014043062803163,0.6570926308631897,"Pedro Feliciano",1601,408230
"Bobby Parnell","NYM",4,8,1,68,8,88.1,7.539623726844605,4.686793127497998,0.8150944569561734,0.3309608540925267,0.6795422,0.469964664,0.076190476,95.05368275564618,5.298113970215128,,4.297083932048895,4.680142252576225,0.6542793586850166,"Bobby Parnell",9926,458730
"Vin Mazzaro","OAK",4,9,0,17,17,91.1,5.813869422560284,3.8430662284720523,1.1824819164529392,0.34951456310679613,0.69767442,0.391167192,0.095238095,93.23840294003115,5.3211686240382265,,4.925551167156388,5.028516613581544,0.6401329040527344,"Vin Mazzaro",5231,476570
"Chris Sampson","HOU",4,2,3,49,0,55.1,5.367470372898182,3.4156629645715704,0.32530123472110195,0.3333333333333333,0.62945368,0.518324607,0.037037037,88.56892578125,5.04216913817708,,3.5127464481181585,4.323966475506854,0.6372780203819275,"Chris Sampson",2651,448200
"Scott Richmond","TOR",8,11,0,27,24,138.2,7.593749825914323,3.8293268352901286,1.7524038059802283,0.29484029484029484,0.68965517,0.335697399,0.142857142,91.92090323633292,5.516826796604422,,5.217276018395051,4.475253902206309,0.6178201911970973,"Scott Richmond",4307,446341
"Jon Rauch","- - -",7,3,2,75,0,70,6.300002059937197,2.9571438240521535,0.7714288236657793,0.2922374429223744,0.75057737,0.363636363,0.0625,92.12616480176693,3.6000011771069698,,3.882798301930414,4.568830375288811,0.6176348477602005,"Jon Rauch",1475,400010
"Ramon Troncoso","LAD",5,4,6,73,0,82.2,5.98790451527662,3.70161370035282,0.3266129735605429,0.3053435114503817,0.77720207,0.55078125,0.044776119,92.48143949962798,2.721774779671191,,3.5809548312494064,4.173128518753259,0.6152326464653015,"Ramon Troncoso",4685,470462
"Jonathon Niese","NYM",1,1,0,5,5,25.2,6.31168752996178,3.15584376498089,0.3506493072200989,0.3170731707317073,0.69364162,0.481481481,0.037037037,89.93488354952831,4.207791686641187,,3.252927895850128,4.127359684745098,0.6136911511421204,"Jonathon Niese",4424,477003
"Matt Palmer","LAA",11,2,0,40,13,121.1,5.118132243595812,4.079670628953183,0.8901099554079673,0.2547945205479452,0.74048913,0.505405405,0.096,,3.931318969718522,,4.704226734350025,4.770914469250146,0.612610075622797,"Matt Palmer",4457,461212
