Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Justin Wilson","PIT",4.2,93.62784933742088,,87.48499755859375,,,94.19999694824219,,77.7999979654948,,,,,,"Justin Wilson",4301,458677
"Scott Richmond","TOR",3,90.74761672247024,,,,,91.75384051983173,80.25,77.99500122070313,,,,,,"Scott Richmond",4307,446341
"Tyler Chatwood","COL",64.2,93.91656092423037,,,,,93.44164570847603,83.74142717633929,76.23790125693044,,,82.05555749317956,,,"Tyler Chatwood",4338,543022
"Kyle Drabek","TOR",71.1,92.31632653061224,,90.17525773195877,,,92.28946572580645,,80.6908509497549,,,85.11930899784483,,,"Kyle Drabek",4359,475138
"Craig Breslow","- - -",63.1,90.93351658293597,,,,,90.71504759557038,84.84083116319445,76.15000093900241,,,78.21960927925858,,,"Craig Breslow",4363,444520
"Joe Saunders","- - -",174.2,89.15622298048419,,,,,88.43153759820426,,74.61705083094783,,,80.05945127876244,,,"Joe Saunders",4366,434578
"Jeremy Hellickson","TBR",177,91.2300918836141,,88.50069656905595,,,91.0707140771028,,77.64141795810627,,,79.72772882109005,,,"Jeremy Hellickson",4371,476451
"Brad Mills","LAA",5,84.5956500509511,,82.64000244140625,,,,,69.69090687144886,,,75.22692401592548,,,"Brad Mills",4420,502166
"Kameron Loe","MIL",68.1,89.58461350661058,,87.64667154947917,,,89.42830023364486,79.08581676136363,,,,82.27143205915179,,,"Kameron Loe",4422,434180
"Jonathon Niese","NYM",190.1,90.46456425681431,,87.42301082490518,,,89.74044834094101,,74.35504139957266,,,83.37857491629464,,,"Jonathon Niese",4424,477003
"Josh Wall","LAD",5.2,93.42307692307692,,,,,95,83.40000287224265,,,,84.4000015258789,,,"Josh Wall",4436,476205
"Michael Bowden","- - -",39.2,91.26811452672102,,90.94999694824219,84.26615389310396,,91.25217736285666,82.63378370130384,,,,,,,"Michael Bowden",4440,476601
"Matt Palmer","SDP",2,89,,87.29999743009868,,,89.7636385830966,,77.11111111111111,,,85.5,,,"Matt Palmer",4457,461212
"Jordan Zimmermann","WSN",195.2,93.83887179151388,,,,,93.35555691189236,86.45874423668033,77.91352332746479,,,86.57681584012681,,,"Jordan Zimmermann",4505,519455
"Randy Wells","CHC",28.2,89.18510361258865,,86.30000305175781,,,89.0493359375,83.68428431919642,80.69999694824219,,,81.82129810474537,,,"Randy Wells",4535,448694
