Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Tyler Walker","SFG",0.6201373,92.08495146,0.18306636,85.66141732,0.00114416,90,0.0423341,79.38888889,0.13615561,84.64485981,0.01716247,85,,,0.17247879,"Tyler Walker",901,400104
"Ricardo Rincon","OAK",0.52077151,88.85440613,0.33679525,82.81683168,,,0.00296736,77,0.13946588,83.0125,,,,,0.17216117,"Ricardo Rincon",401,121215
"Grant Balfour","MIN",0.78955954,93.67365967,0.10929853,83.421875,,,0.0766721,79.80487805,0.02446982,84.85714286,,,,,0.17162162,"Grant Balfour",718,346797
"Scott Atchison","SEA",0.54968288,90.1185567,0.15010571,83.76923077,,,0.2410148,77.17977528,0.05919662,83,,,,,0.17017544,"Scott Atchison",2642,425786
"Rocky Biddle","MON",0.60214095,90.7223382,0.12399643,83.53982301,0.00802855,86.2,0.17216771,80.92307692,0.08206958,83.08571429,0.01159679,83.875,,,0.16863034,"Rocky Biddle",223,335092
"Gavin Floyd","PHI",0.59183673,88.15625,0.02295918,82.5,,,0.32142857,76.61764706,0.06377551,83.25,,,,,0.16772824,"Gavin Floyd",3886,425856
"Brian Meadows","PIT",0.46840959,90.57020057,0.16993464,82.7862069,,,0.31481481,81.31838565,0.04684096,81.61764706,,,,,0.16501353,"Brian Meadows",998,132785
"Jason Davis","CLE",0.69665653,93.61530398,0.09057751,84.28181818,,,0.00425532,78.85714286,0.03404255,81.88372093,0.17446809,85.25099602,,,0.16430738,"Jason Davis",1598,425186
"Josh Fogg","PIT",0.47386609,87.48165138,0.12483801,81.77459016,0.00691145,83.4375,0.16112311,76.0795107,0.23326134,80.05183585,,,,,0.16290727,"Josh Fogg",989,150319
"Phil Norton","CIN",0.56546275,88.65013055,0.10835214,80.12658228,,,0.248307,77.71856287,0.0778781,82.20689655,,,,,0.16261682,"Phil Norton",1714,150041
"Mike MacDougal","KCR",0.58737864,93.74285714,0.17961165,82.85714286,,,0.19902913,79.35714286,0.03398058,85.5,,,,,0.16260163,"Mike MacDougal",612,213680
"Mike Gallo","HOU",0.64583333,89.70404984,0.19196429,81.5,,,0.13541667,76.19117647,0.02678571,81.05882353,,,,,0.16104869,"Mike Gallo",1759,429760
"Jaime Cerda","KCR",0.6888587,91.35839599,0.0923913,80.05555556,,,0.0625,77.38095238,0.15625,81.07920792,,,,,0.16077537,"Jaime Cerda",1532,407881
"Jeremy Affeldt","KCR",0.72702206,93.36904762,0.02022059,83.08333333,0.00183824,,0.18198529,76.59836066,0.06893382,84.09756098,,,,,0.1587057,"Jeremy Affeldt",583,346793
"Pat Hentgen","TOR",0.61445783,85.17256637,0.06454389,82.66666667,0.01376936,84,0.14974182,71.79230769,0.15748709,78.26241135,,,,,0.15740072,"Pat Hentgen",145,115797
"Esteban Yan","DET",0.56480687,92.30113636,0.08497854,83.75903614,,,,,0.08583691,82.73170732,0.26437768,84.53333333,,,0.15701881,"Esteban Yan",1236,124643
"Carlos Silva","MIN",0.79301848,90.34229829,0.03655031,80.85135135,0.00041068,84,0.10349076,76.0826087,0.06652977,81.01351351,,,,,0.15693052,"Carlos Silva",973,400067
"Nate Bump","FLA",0.78106509,89.19014085,,,,,0.18540434,74.19852941,0.03353057,79.86363636,,,,,0.15645695,"Nate Bump",1755,425546
"Russ Springer","HOU",0.65765766,91,0.11261261,84.20833333,0.01801802,87,0.21171171,77.43181818,,,,,,,0.15589354,"Russ Springer",1652,122620
"Jimmy Gobble","KCR",0.68532919,87.38909774,0.01399689,85.21428571,,,0.18299637,74.69366197,0.11767755,80.17346939,,,,,0.15542907,"Jimmy Gobble",1791,425471
"Francisco Cordero","TEX",0.66390424,96.11423221,0.30018416,85.90740741,0.00092081,81,0.00184162,79.5,0.02762431,83.57142857,0.00552486,86.83333333,,,0.15438324,"Francisco Cordero",1243,150188
"Justin Lehr","OAK",0.67048055,91.95967742,0.06864989,83.67857143,,,0.14645309,79.77586207,0.08695652,83.37142857,0.02745995,83.44444444,,,0.15355086,"Justin Lehr",2163,430680
"Erasmo Ramirez","TEX",0.64615385,82.53043478,0.04835165,68.8,,,0.13406593,68.22727273,0.17142857,66.86842105,,,,,0.15157116,"Erasmo Ramirez",1699,285063
"Jay Witasick","SDP",0.59069767,91.34897361,0.21046512,80.575,,,0.10232558,79.96875,0.09651163,81.85245902,,,,,0.15044248,"Jay Witasick",1138,124482
"Kirk Bullinger","HOU",0.68794326,84.59482759,0.22222222,77.53125,,,0.04964539,75.27777778,0.04018913,80.75,,,,,0.1503006,"Kirk Bullinger",552,136580
"Scott Sullivan","KCR",0.63764706,86.54791155,0.28235294,76.06030151,,,0.01058824,72.66666667,0.06941176,76.73076923,,,,,0.15024876,"Scott Sullivan",357,122975
"John Van Benschoten","PIT",0.73747017,90.48920863,0.09307876,83.86111111,,,0.13126492,77.16981132,0.03818616,84.66666667,,,,,0.14979757,"John Van Benschoten",2228,429724
"Mark Redman","OAK",0.62084592,84.71923077,0.02945619,77.66037736,,,0.04720544,69.13684211,0.30249245,77.37905605,,,,,0.14945478,"Mark Redman",491,150230
"Joe Nathan","MIN",0.7075743,93.78172589,0.19846596,86.98876404,0.00191755,91,0.07478428,81.25,0.01725791,83.82352941,,,,,0.14857143,"Joe Nathan",1122,150274
"Chad Bentz","MON",0.69856459,88.15730337,0.03349282,79.57142857,,,0.24162679,72.6031746,0.02631579,77.4,,,,,0.148,"Chad Bentz",1889,430566
"Vladimir Nunez","COL",0.54855643,89.30357143,0.30971129,81.13461538,,,0.01312336,76.8,0.08136483,79.55172414,0.04724409,81.33333333,,,0.14732143,"Vladimir Nunez",532,136727
"Dave Burba","- - -",0.71512195,88.67252396,0.07609756,83.72881356,0.03414634,87.96969697,0.07414634,76.79411765,0.0702439,81.82539683,0.0302439,82.45833333,,,0.14722911,"Dave Burba",1239,111692
"Jorge De La Rosa","MIL",0.62931034,91.71223022,0.08908046,81.44444444,,,0.14655172,72.72,0.13505747,81.03703704,,,,,0.14705882,"Jorge De La Rosa",2047,407822
"Anastacio Martinez","BOS",0.69822485,90.85135135,0.07100592,79.125,,,0.13017751,75.61538462,0.10059172,80.72727273,,,,,0.14646465,"Anastacio Martinez",1944,407823
"Joaquín Benoit","TEX",0.60849968,91.59141494,0.1545396,84.55813953,,,0.04314231,77.625,0.19381842,81.07373272,,,,,0.14623419,"Joaquin Benoit",1437,276542
"Tim Hudson","OAK",0.68985999,91.33646209,0.14043275,85.64846416,0.01103097,89,0.02885023,76.78333333,0.0479423,81.60824742,0.08188375,84.20114943,,,0.14580318,"Tim Hudson",921,218596
"Nate Robertson","DET",0.5391933,89.62232143,0.26027397,82.04854369,0.00304414,85.42857143,0.02016743,78.62745098,0.17694064,80.2989418,0.00038052,83,,,0.14564369,"Nate Robertson",1620,425146
"Mike Maroth","DET",0.4760238,84.85414768,0.14490725,79.99710983,0.03675184,82.5862069,0.11095555,72.45634921,0.23136157,76.6996337,,,,,0.14461078,"Mike Maroth",1508,400077
"Frank Brooks","PIT",0.60080645,88.62385321,0.18145161,78.51219512,,,,,0.21774194,77.76595745,,,,,0.1443299,"Frank Brooks",1877,425905
"Valerio De Los Santos","TOR",0.52601156,87.24324324,0.30057803,82.5,,,0.01734104,79,0.15606936,81.07692308,,,,,0.14356436,"Valerio De Los Santos",681,136304
"Allan Simpson","COL",0.77671451,90.82733813,0.17862839,80.27777778,,,,,0.0446571,81.56521739,,,,,0.14324693,"Allan Simpson",1864,407817
"Lenny DiNardo","BOS",0.48456057,81.86428571,0.24465558,79.83018868,0.06413302,82.96296296,0.10213777,74.79411765,0.10451306,76.21212121,,,,,0.14314516,"Lenny DiNardo",1894,430837
"Randy Flores","STL",0.44871795,87.82978723,0.26923077,80.2,,,0.23717949,74.31034483,0.04487179,79.66666667,,,,,0.14285714,"Randy Flores",1446,420864
"Dan Meyer","ATL",0.75,86.11764706,0.16666667,79,,,,,0.08333333,76,,,,,0.14285714,"Dan Meyer",4402,434159
"Sean Burnett","PIT",0.66077003,88.5102459,0.0905307,81.52631579,,,0.08740895,72.77142857,0.16129032,82.15602837,,,,,0.14247788,"Sean Burnett",1886,430634
"Kenny Rogers","TEX",0.51196809,86.24575514,0.05452128,80.08181818,0.02260638,81.87301587,0.12200798,73.64144737,0.28889628,80.27348066,,,,,0.14204221,"Kenny Rogers",1277,121386
"Scott Dohmann","COL",0.65745008,91.05113636,0.23502304,82.91338583,,,0.01075269,79,0.09677419,83.57627119,,,,,0.14116095,"Scott Dohmann",1936,430617
"Gary Majewski","MON",0.73899371,91.96590909,0.22012579,82.54716981,,,0.01572327,81.33333333,0.02515723,83.28571429,,,,,0.14054054,"Gary Majewski",2131,400008
"Mike DeJean","- - -",0.5794814,91.23970944,0.30665163,84.00888889,,,,,0.01465614,82.07692308,0.09921082,83.74358974,,,0.13998082,"Mike DeJean",682,113211
"Todd Van Poppel","CIN",0.61925199,88.76339286,0.21765788,82.08467742,,,0.08645003,76.46,0.0766401,82.3452381,,,,,0.13969425,"Todd Van Poppel",1284,123650
"Victor Santos","MIL",0.56644295,89.80172414,0.01521253,81.95238095,,,0.15973154,75.90636704,0.13333333,81.66793893,0.12527964,84.57534247,,,0.13912375,"Victor Santos",446,276343
"Scott Eyre","SFG",0.68232386,90.69503546,0.17552534,82.42857143,0.00123609,86,0.04697157,77.29411765,0.09394314,80.96610169,,,,,0.13909378,"Scott Eyre",1300,113961
"Bruce Chen","BAL",0.45412131,87.79220779,0.12286159,81.50877193,,,0.18195956,74.33870968,0.24105754,78.76033058,,,,,0.13903743,"Bruce Chen",769,136600
"Josias Manzanillo","FLA",0.63346614,89.62980769,0.26494024,81.70652174,0.00996016,87,0.02589641,78.11111111,0.06573705,82.85714286,,,,,0.13893654,"Josias Manzanillo",996,118268
"Jeremy Bonderman","DET",0.55546656,93.34,0.278334,82.82287823,,,0.02162595,80.62162162,0.14337205,84.42122186,0.00120144,85,,,0.13784806,"Jeremy Bonderman",1667,425827
"Joe Kennedy","COL",0.66836263,89.44327931,0.11147086,80.71978022,,,0.13552266,76,0.08418131,81.03401361,0.00046253,,,,0.13761468,"Joe Kennedy",1217,406773
"Jim Brower","SFG",0.53194888,91.99176955,0.2827476,86.32014388,,,0.0215655,77.16666667,0.16373802,82.39130435,,,,,0.13736264,"Jim Brower",313,150342
"Mark Hendrickson","TBD",0.60266774,87.50432526,0.04769604,82.23255814,0.08124495,84.81564246,0.11277284,73.90376569,0.15561843,81.42642643,,,,,0.13699583,"Mark Hendrickson",1574,424805
"Wade Miller","HOU",0.66146993,90.05376344,0.06458797,85.96,0.00668151,86.66666667,0.15367483,75.92222222,0.11358575,82.09929078,,,,,0.13674121,"Wade Miller",568,150063
