Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Jeff Stevens","CHC",0.2857142857142857,0.807692307,0.196581196,0.358974358,0.444444444,0.076923076,0.134615384,10,2.4107153223337767,311,421,732,0.38655462,0.31092437,0.30252101,0.21848739,0.4789916,0.30252101,"Jeff Stevens",3367,459999
"Juan Mejia","COL",0.2948717948717949,1,0.192546583,0.403726708,0.403726708,0.123076923,0.092307692,12,1.7608697112431495,386,688,1074,0.35802469,0.38888889,0.25308642,0.2037037,0.49382716,0.30246914,"Juan Mejia",23237,675848
"Davis Daniel","- - -",0.3096774193548387,0.861111111,0.172839506,0.382716049,0.444444444,0.111111111,0.097222222,19,3.246835541026065,316,593,909,0.38888889,0.35185185,0.25925926,0.17901235,0.51851852,0.30246914,"Davis Daniel",27582,669721
"Eli Morgan","- - -",0.2759084791386272,0.716253443,0.201282051,0.333333333,0.465384615,0.096418732,0.126721763,148,4.885086115628619,1454,2956,4410,0.37229987,0.37102922,0.2566709,0.18551461,0.51207116,0.30241423,"Eli Morgan",20203,669212
"Derek Law","- - -",0.30220883534136544,1.447204968,0.225933202,0.457760314,0.316306483,0.099378881,0.111801242,157,4.083815943464503,2196,3665,5861,0.39631783,0.35368217,0.25,0.18313953,0.51453488,0.30232558,"Derek Law",13133,571882
"Eduardo Paredes","LAA",0.319672131147541,1.166666666,0.181102362,0.440944881,0.377952755,0.083333333,0.145833333,18,3.983606993335176,246,434,680,0.37209302,0.39534884,0.23255814,0.15503876,0.54263566,0.30232558,"Eduardo Paredes",16344,622161
"Grant Wolfram","BAL",0.39285714285714285,1.48275862,0.162790697,0.5,0.337209302,0.172413793,0.068965517,11,3.712500619590386,186,335,521,0.3372093,0.38372093,0.27906977,0.15116279,0.54651163,0.30232558,"Grant Wolfram",21623,664991
"Paul Campbell","MIA",0.3333333333333333,1.06060606,0.19047619,0.416666666,0.392857142,0.09090909,0.151515151,13,4.387500732243184,172,296,468,0.48837209,0.3372093,0.1744186,0.08139535,0.61627907,0.30232558,"Paul Campbell",22248,669294
"Brandyn Garcia","- - -",0.4186046511627907,2.333333333,0.285714285,0.5,0.214285714,0,0,3,1.8837213480131787,107,170,277,0.25581395,0.41860465,0.3255814,0.13953488,0.55813953,0.30232558,"Brandyn Garcia",33568,805299
"Cody Anderson","CLE",0.30019880715705766,1.241573033,0.232692307,0.425,0.342307692,0.117977528,0.129213483,77,4.313277436510481,855,1628,2483,0.43536122,0.32129278,0.24334601,0.19391635,0.50380228,0.30228137,"Cody Anderson",12799,594736
"Scott Barlow","- - -",0.29484902309058614,1.210653753,0.211571675,0.431778929,0.356649395,0.10653753,0.104116222,168,3.320644824088715,2969,4994,7963,0.45291096,0.32619863,0.22089041,0.1755137,0.52226027,0.30222603,"Scott Barlow",14993,605130
"Jonathan Bowlan","KCR",0.29457364341085274,1.285714285,0.182481751,0.459854014,0.357664233,0.081632653,0.204081632,21,3.7800004325867196,313,538,851,0.41726619,0.30215827,0.28057554,0.20863309,0.48920863,0.30215827,"Jonathan Bowlan",24607,680742
"Justin Thomas","- - -",0.41304347826086957,0.568181818,0.265957446,0.265957446,0.468085106,0.045454545,0.09090909,11,4.013514237651301,181,274,455,0.3125,0.38541667,0.30208333,0.26041667,0.4375,0.30208333,"Justin Thomas",9910,476206
"Matt Waldron","SDP",0.28597122302158273,0.93877551,0.185248713,0.394511149,0.420240137,0.130612244,0.126530612,92,4.297578166667053,1166,2062,3228,0.40443686,0.38566553,0.20989761,0.17576792,0.5221843,0.30204778,"Matt Waldron",25550,663362
"Daulton Jefferies","- - -",0.32051282051282054,1.138297872,0.172839506,0.440329218,0.386831275,0.053191489,0.117021276,34,4.309859328600091,411,754,1165,0.42857143,0.31428571,0.25714286,0.12653061,0.57142857,0.30204082,"Daulton Jefferies",19345,641726
"José Urquidy","- - -",0.2594178082191781,0.788990825,0.203431372,0.351307189,0.445261437,0.132110091,0.122935779,279,6.164484543125451,2150,4397,6547,0.41295547,0.34008097,0.24696356,0.17732794,0.52064777,0.30202429,"Jose Urquidy",18413,664353
"Zack Greinke","- - -",0.2930856553147575,1.257839721,0.213114754,0.438372799,0.348512446,0.094076655,0.106562137,1799,4.777045555847365,19220,34087,53307,0.40137272,0.34029643,0.25833085,0.17198846,0.52601214,0.3019994,"Zack Greinke",1943,425844
"Colin Poche","- - -",0.24670433145009416,0.571428571,0.185920577,0.29602888,0.518050541,0.149825783,0.111498257,119,4.920368606511143,1279,2279,3558,0.39431616,0.330373,0.27531083,0.18472469,0.51332149,0.30195382,"Colin Poche",19403,621363
"Danny Farquhar","- - -",0.2991329479768786,1.104651162,0.231966053,0.403111739,0.364922206,0.120155038,0.116279069,78,2.5777236847493468,1696,2919,4615,0.37534626,0.34903047,0.27562327,0.21606648,0.48199446,0.30193906,"Danny Farquhar",8501,543144
"Armando Galarraga","- - -",0.2634088200238379,0.956756756,0.171150543,0.40526617,0.423583285,0.094594594,0.127027027,299,4.964944434321223,3421,5455,8876,0.46218962,0.32054176,0.21726862,0.16986456,0.5282167,0.30191874,"Armando Galarraga",4222,451482
"Alex Wood","- - -",0.30500844119302195,1.594495412,0.215316315,0.482241953,0.302441731,0.072477064,0.116513761,658,4.707472243188764,7104,13254,20358,0.39836957,0.3451087,0.25652174,0.1625,0.53559783,0.30190217,"Alex Wood",13781,622072
"Jeremy Horst","- - -",0.32682926829268294,0.901098901,0.16826923,0.394230769,0.4375,0.142857142,0.076923076,39,4.830275651973379,452,806,1258,0.37735849,0.39150943,0.23113208,0.19339623,0.50471698,0.30188679,"Jeremy Horst",596,456662
"Troy Cate","STL",0.3269230769230769,0.576923076,0.196078431,0.294117647,0.509803921,0.115384615,0.038461538,8,4.499999463558261,107,159,266,0.41509434,0.33962264,0.24528302,0.16981132,0.52830189,0.30188679,"Troy Cate",4627,446452
"Travis Adams","MIN",0.32673267326732675,0.688888888,0.276190476,0.295238095,0.428571428,0.044444444,0.133333333,21,5.6138619692253044,256,408,664,0.3490566,0.38679245,0.26415094,0.12264151,0.5754717,0.30188679,"Travis Adams",30180,701519
"Craig Kimbrel","- - -",0.2667946257197697,0.90625,0.206811145,0.377089783,0.416099071,0.111607142,0.111607142,175,1.916835957131406,5106,8927,14033,0.31459988,0.35369578,0.33170434,0.16799023,0.53023824,0.30177153,"Craig Kimbrel",6655,518886
"Edwin Díaz","- - -",0.30505050505050507,1.092731829,0.190891472,0.42248062,0.386627906,0.11528822,0.135338345,90,1.5596921742991738,2982,5615,8597,0.39655172,0.31992337,0.2835249,0.19636015,0.50191571,0.30172414,"Edwin Diaz",14710,621242
