Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Bob Whitcher","BSN",15.2,,,,,,,,,,,,,"Bob Whitcher",1013850,124158
"Abe White","STL",9.1,,,,,,,,,,,,,"Abe White",1013851,124159
"Bill White","LOU",1,,,,,,,,,,,,,"Bill White",1013854,124192
"Charlie Whitehouse","- - -",77.2,,,,,,,,,,,,,"Charlie Whitehouse",1013858,124201
"Deacon White","- - -",10,,,,,,,,,,,,,"Deacon White",1013860,124175
"Deke White","PHI",17.1,,,,,,,,,,,,,"Deke White",1013861,124172
"Doc White","- - -",3041,,,,,,,,,,,,,"Doc White",1013864,124173
"Earl Whitehill","- - -",3564.2,,,,,,,,,,,,,"Earl Whitehill",1013866,124200
"Ernie White","- - -",489.1,,,,,,,,,,,,,"Ernie White",1013871,124169
"Gil Whitehouse","NWK",1,,,,,,,,,,,,,"Gil Whitehouse",1013875,124202
"Hal White","- - -",920.1,,,,,,,,,,,,,"Hal White",1013877,124174
"John Whitehead","- - -",944,,,,,,,,,,,,,"John Whitehead",1013882,124198
"Kirby White","- - -",330.2,,,,,,,,,,,,,"Kirby White",1013883,124183
"Larry White","LAD",19,,,,,,,,,,,,,"Larry White",1013884,124181
"Len Whitehouse","- - -",115.2,,,,,,,,,,,,,"Len Whitehouse",1013885,124203
"Mark Whiten","CLE",1,,,,,,,,,,,,,"Mark Whiten",1013886,124207
"Milt Whitehead","STL",8,,,,,,,,,,,,,"Milt Whitehead",1013887,124199
"Sean Whiteside","DET",3.2,,,,,,,,,,,,,"Sean Whiteside",1013893,124208
"Steve White","- - -",6.2,,,,,,,,,,,,,"Steve White",1013894,124189
"Wally Whitehurst","- - -",487.2,,,,,,,,,,,,,"Wally Whitehurst",1013896,124204
"Will White","- - -",3542.2,,,,,,,,,,,,,"Will White",1013897,124194
"Jesse Whiting","- - -",36.2,,,,,,,,,,,,,"Jesse Whiting",1013901,124213
"Art Whitney","- - -",30,,,,,,,,,,,,,"Art Whitney",1013906,124219
