Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Trader Horne","CHC",1,1,0,11,1,23,2.347826086956522,8.217391304347826,1.173913043478261,0.25925925925925924,0.6127451,,,,5.086956521739131,,7.142252138386603,,-0.4675607681274414,"Trader Horne",1006028,116153
"Parker Markel","- - -",0,1,0,23,0,25,9.720000741577206,7.920000604248093,2.1600001647949343,0.3230769230769231,0.71100917,0.366197183,0.2,95.56388411983367,6.840000521850626,6.6550213149298125,7.1618203677665235,6.367806988172607,-0.4677533134818077,"Parker Markel",12106,571917
"Cliff Brantley","PHI",4,8,0,34,14,108,4.750000587216203,6.416667459923642,0.5000000618122319,0.2622478386167147,0.71678322,,,,4.250000525403971,,4.776772755389862,,-0.46812528371810913,"Cliff Brantley",1001357,111396
"Shayne Bennett","MON",5,7,1,83,1,125.2,5.084880585153103,4.082228075404604,1.0026525097484993,0.30117647058823527,0.63304721,,,,5.872678985669781,,4.979427824986103,,-0.468612315133214,"Shayne Bennett",1000847,110875
"Josh Ravin","- - -",2,3,1,35,0,38.2,10.47413965326172,4.422414520266059,1.8620692716909724,0.22826086956521738,0.72864322,0.393939393,0.19047619,96.78015776267084,5.120690497150174,4.586410098448092,5.2182481435262975,4.342479246565267,-0.46866989880800247,"Josh Ravin",2951,502051
"Brad Voyles","KCR",0,4,1,40,3,68.1,7.375607937569871,5.795120522376327,1.5804874151935437,0.3333333333333333,0.67425569,0.25,0.135802469,,6.585364229973099,,5.757028961581135,5.24973986099854,-0.46913378685712814,"Brad Voyles",1490,400143
"Gifford McDonald","DS",3,4,0,9,8,51.1,3.506495677957707,6.136367436425987,0.525974351693656,0.28651685393258425,0.64189189,,,,5.961042652528102,,5.062727518045537,,-0.4693162739276886,"Gifford McDonald",1015883,
"Jim Beckman","CIN",0,2,0,10,1,27.2,1.3012079888779702,4.879529958292388,0.9759059916584777,0.29310344827586204,0.6352459,,,,5.855435949950866,,5.865389018349014,,-0.46945612132549286,"Jim Beckman",1000756,110777
"Greg Hansell","- - -",4,4,3,106,0,137.2,6.406781288373134,3.203390644186567,1.6343829817278401,0.3109048723897912,0.6961326,,,,5.556902137874657,,5.328271070701879,,-0.46969022788107395,"Greg Hansell",1005326,115434
"Cory Mazzoni","- - -",1,0,0,22,0,25.1,6.75000084701348,4.973684834641511,2.4868424173207555,0.40425531914893614,0.41832669,0.475247524,0.28,94.20509643554688,11.72368568165499,7.036640307238364,7.018790104982237,5.080166837468314,-0.469857320189476,"Cory Mazzoni",12537,543508
