Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Brickyard Kennedy","- - -",3021,95.90765930131268,112.17444809421772,88.16677780871184,108.58905329103936,,,96.60690250969388,99.2886569444862,96.12497416631939,105.11160842915943,98.31270901479701,106.32982522945758,,,,,"Brickyard Kennedy",1006836,116994
"Monty Kennedy","NYG",961,100.54188992884588,129.43825744747932,77.54389020158852,92.66553099958726,97.90942276993569,126.1074978241139,96.78997080394593,105.97752665132644,97.40373148068507,100.76376301248176,97.57376257778658,105.77859096842421,,,,,"Monty Kennedy",1006846,116985
"Ted Kennedy","- - -",283.1,89.44013996283685,129.49613292160552,68.87053699016043,184.14864929340104,,,116.91011851691972,124.99718329646181,113.50796542254962,93.19585048912342,127.18740989310925,114.6787577228853,,,,,"Ted Kennedy",1006849,116990
"Vern Kennedy","- - -",2025.2,88.0951916293741,124.08113504087348,70.91803986704073,95.79897252906561,86.99059673173568,122.57470377524682,101.28256468746795,106.93817588609298,100.19306305509383,99.46649665034084,107.46040558133954,107.73571619301141,,,,,"Vern Kennedy",1006851,116983
"Ed Kent","TOL",9,90.1243234450867,192.46430368671983,46.82651783021738,0,,,139.7613832816987,166.38867341579612,137.48181717900957,77.19444412996558,181.51942845788477,113.42755397713174,,,,,"Ed Kent",1006852,116998
"Maury Kent","BRO",100.1,58.99204546000156,138.57476198945196,42.694239289611545,114.04497472905936,,,106.89400364231352,117.0432946979306,101.5089078726662,83.75150422252135,141.7553792883666,125.32750957034322,,,,,"Maury Kent",1006853,117000
"Matt Keough","- - -",1190,94.15493152095502,118.9770609558427,79.1722980938478,118.43663163421905,92.80300611175683,117.29811709999665,99.49013445933818,104.43080907903108,97.0879700850481,99.9712011052335,109.22419973711595,113.82157240399508,,,,,"Matt Keough",1006858,117004
"Kurt Kepshire","STL",270.1,85.77772458021819,122.07836436618355,67.65932371694558,116.42209450125986,84.60714467710568,120.40055051452786,101.88848857570159,107.31609245536748,98.23045062577816,96.94180358588983,117.33911227322112,117.8674198689107,,,,,"Kurt Kepshire",1006859,117006
"Charlie Kerfeld","- - -",201.2,118.12363865830808,157.15149461344774,75.33596091555113,66.11865700246578,113.84555254172304,151.62380880258604,98.57155150582774,113.79499913279436,105.12043318047199,97.55713978503692,113.4456731732304,104.22133649105616,,,,,"Charlie Kerfeld",1006860,117007
"Gus Keriazakos","- - -",73.2,122.40605352313818,133.4347902579483,90.52950937728481,135.56994920732123,115.76810285772376,126.49664283060164,109.2261402084333,118.87236899112482,110.83815107884574,91.17457405515273,144.70359640277087,114.85295328277488,,,,,"Gus Keriazakos",1006861,117008
